date,value
2009-06-16,10217.065654996544
2009-06-17,10300.231136860089
2009-06-18,10320.009780772718
2009-06-19,10440.629457669538
2009-06-22,9868.890522238098
2009-06-23,9874.367049846991
2009-06-24,9839.078779660071
2009-06-25,10511.99117995328
2009-06-26,10317.351551921291
2009-06-29,10515.026487134422
2009-06-30,10320.625022266857
2009-07-01,10326.436655848958
2009-07-02,9825.43335160909
2009-07-06,9994.217687232322
2009-07-07,9418.096212725486
2009-07-08,9528.810736656031
2009-07-09,9533.19517562008
2009-07-10,9398.161025554164
2009-07-13,9786.066798180587
2009-07-14,10055.52181009288
2009-07-15,10397.72166875419
2009-07-16,10490.663242644068
2009-07-17,10642.416212099255
2009-07-20,10744.594720847148
2009-07-21,10898.928700004248
2009-07-22,10974.816162699994
2009-07-23,11280.480542170208
2009-07-24,11402.447805418855
2009-07-27,11529.866343296757
2009-07-28,11472.36812581427
2009-07-29,11504.611453281248
2009-07-30,12015.457985214358
2009-07-31,11832.597821019517
2009-08-03,11815.873011334334
2009-08-04,11995.4758647128
2009-08-05,11831.946255643203
2009-08-06,11878.181494111705
2009-08-07,12364.493985521243
2009-08-10,12275.503900118285
2009-08-11,11952.045357554263
2009-08-12,12200.498868686813
2009-08-13,12239.73423994005
2009-08-14,11964.288403444891
2009-08-17,11760.025355972864
2009-08-18,11812.744767262237
2009-08-19,11743.871758452517
2009-08-20,12173.88804449674
2009-08-21,12551.767027914948
2009-08-24,12760.573894841731
2009-08-25,12723.321632554422
2009-08-26,12713.075722015523
2009-08-27,12489.529992866414
2009-08-28,12585.551614354128
2009-08-31,12329.549145861765
2009-09-01,12090.688827948577
2009-09-02,12011.921468861467
2009-09-03,11960.915732876831
2009-09-04,12239.384255716783
2009-09-08,12362.041892709116
2009-09-09,12602.570111173787
2009-09-10,12696.962199629214
2009-09-11,12833.238731006786
2009-09-14,12721.204243333581
2009-09-15,12984.572094807854
2009-09-16,13153.996712832934
2009-09-17,13288.317293728052
2009-09-18,13211.521321099504
2009-09-21,13258.501743307419
2009-09-22,13263.196317553537
2009-09-23,13249.487184622909
2009-09-24,12866.225441542758
2009-09-25,12792.834280375908
2009-09-28,13131.513723911283
2009-09-29,13272.721321244822
2009-09-30,12941.492006030303
2009-10-01,12665.750342032967
2009-10-02,12324.844756375169
2009-10-05,12471.935427668157
2009-10-06,12957.267813965054
2009-10-07,12982.61265465868
2009-10-08,13299.242247109278
2009-10-09,13248.616610371233
2009-10-12,13497.853672927225
2009-10-13,13390.683799024529
2009-10-14,13603.018643790623
2009-10-15,13539.239962670857
2009-10-16,13509.988401069184
2009-10-19,13880.306860414381
2009-10-20,13665.598238187837
2009-10-21,13773.28616676982
2009-10-22,13361.667607565729
2009-10-23,13360.540510593235
2009-10-26,13168.838264509386
2009-10-27,13197.212961857247
2009-10-28,12770.146782256625
2009-10-29,12924.725609810857
2009-10-30,12593.783595703968
2009-11-02,12603.625236163776
2009-11-03,12577.861691889364
2009-11-04,12938.998874953519
2009-11-05,12996.556815513679
2009-11-06,13056.136074417054
2009-11-09,13430.165379814869
2009-11-10,13672.210652715774
2009-11-11,13775.580280549379
2009-11-12,13748.18935395534
2009-11-13,13760.600248038141
2009-11-16,14128.024249503058
2009-11-17,14115.274445754576
2009-11-18,14009.526929137543
2009-11-19,13685.142370777556
2009-11-20,13643.417199447102
2009-11-23,14049.32511346032
2009-11-24,13940.517378172817
2009-11-25,13994.921710685669
2009-11-27,13721.224811508702
2009-11-30,13493.932958485666
2009-12-01,13887.790282771241
2009-12-02,13936.57777885826
2009-12-03,13938.787150157903
2009-12-04,13954.442932354621
2009-12-07,14098.473764310005
2009-12-08,13886.11483450629
2009-12-09,13804.880613920053
2009-12-10,14128.735009085985
2009-12-11,14249.201309476661
2009-12-14,14525.457469987736
2009-12-15,14536.985522551953
2009-12-16,14543.122922262111
2009-12-17,14434.170290432912
2009-12-18,14397.428975648507
2009-12-21,14898.277331497118
2009-12-22,14938.971028395594
2009-12-23,14966.933647448035
2009-12-24,14984.329665076148
2009-12-28,15161.830447516313
2009-12-29,15235.373953564576
2009-12-30,15111.682780667705
2009-12-31,15056.350487847407
2010-01-04,15202.422926990517
2010-01-05,15282.895756847643
2010-01-06,15380.293634336365
2010-01-07,15452.47579651954
2010-01-08,15574.066146031251
2010-01-11,15376.517206779983
2010-01-12,15284.253072548441
2010-01-13,15380.780444391643
2010-01-14,15583.696614401944
2010-01-15,15402.815969185711
2010-01-19,15774.408472769623
2010-01-20,15561.253305778291
2010-01-21,15375.354930802971
2010-01-22,15059.471463176515
2010-01-25,14479.375541380985
2010-01-26,14746.246677619947
2010-01-27,14446.3778411231
2010-01-28,14374.018172538192
2010-01-29,14587.409122690977
2010-02-01,14505.539423106988
2010-02-02,14818.264526333307
2010-02-03,14799.993784173614
2010-02-04,14250.290645505473
2010-02-05,14128.969970086269
2010-02-08,14173.411246060792
2010-02-09,14294.041603250424
2010-02-10,14197.730491810958
2010-02-11,14502.636943209021
2010-02-12,14349.97314786533
2010-02-16,14857.392576327544
2010-02-17,15106.039410999718
2010-02-18,15207.421834746106
2010-02-19,15709.925362789569
2010-02-22,15456.895420466937
2010-02-23,15199.893576897515
2010-02-24,15271.960175412176
2010-02-25,15020.911540810779
2010-02-26,15254.177715912643
2010-03-01,15860.159137910316
2010-03-02,15961.809032976955
2010-03-03,15768.551039432101
2010-03-04,15859.239102210613
2010-03-05,16172.296452900777
2010-03-08,16244.75338207538
2010-03-09,16473.054124261096
2010-03-10,16556.052038505408
2010-03-11,16441.331788655905
2010-03-12,16498.120695390513
2010-03-15,16457.15603183382
2010-03-16,16694.430279993736
2010-03-17,16879.0418104692
2010-03-18,16964.025407418343
2010-03-19,16944.993936943491
2010-03-22,17146.330938371502
2010-03-23,17240.374018739447
2010-03-24,17524.112106717621
2010-03-25,17760.852733670283
2010-03-26,17382.06489253608
2010-03-29,17539.682390347429
2010-03-30,17461.460235697621
2010-03-31,17372.972504752775
2010-04-01,17614.421630091427
2010-04-05,17484.62342819848
2010-04-06,18081.273624473728
2010-04-07,17962.835109427335
2010-04-08,17921.993750393623
2010-04-09,18053.978024652777
2010-04-12,18055.286267929056
2010-04-13,17959.086259049138
2010-04-14,18222.775883775084
2010-04-15,18577.098467216161
2010-04-16,18046.254778064493
2010-04-19,18036.409890310257
2010-04-20,18438.083423996803
2010-04-21,18553.946783672971
2010-04-22,18376.809623648445
2010-04-23,18724.130174351914
2010-04-26,19150.922455782598
2010-04-27,18231.925256734798
2010-04-28,18342.296477602555
2010-04-29,18748.770087341221
2010-04-30,18620.799521910114
2010-05-03,18526.156146105932
2010-05-04,18065.562622051086
2010-05-05,18052.570772360017
2010-05-06,17747.32075389204
2010-05-07,17888.096128069134
2010-05-10,17721.102602630879
2010-05-11,17986.600548130398
2010-05-12,18202.212728533359
2010-05-13,18414.384663812314
2010-05-14,17676.948179581002
2010-05-17,17696.605876100228
2010-05-18,17579.851954298483
2010-05-19,16979.061543078024
2010-05-20,16429.902706187968
2010-05-21,16007.937124880073
2010-05-24,16132.651873558985
2010-05-25,15436.711573258161
2010-05-26,16272.560830172768
2010-05-27,16567.951095380908
2010-05-28,16458.348391098014
2010-06-01,16277.148837467999
2010-06-02,16264.920791484976
2010-06-03,16871.391330033086
2010-06-04,16517.211634631774
2010-06-07,16017.786866163917
2010-06-08,15740.713741784384
2010-06-09,16211.422940043036
2010-06-10,16293.900853915724
2010-06-11,16486.375746824724
2010-06-14,16714.275701023067
2010-06-15,16669.502754617009
2010-06-16,17008.122594111195
2010-06-17,16974.172833174111
2010-06-18,17204.303993373793
2010-06-21,17246.397870383018
2010-06-22,17095.273275326348
2010-06-23,16570.439516571481
2010-06-24,15897.61796890193
2010-06-25,15917.771826065609
2010-06-28,15987.107498314894
2010-06-29,15225.847404442184
2010-06-30,14958.044823592201
2010-07-01,14058.355623933527
2010-07-02,13932.151189577011
2010-07-06,14364.053874392601
2010-07-07,14559.994635795241
2010-07-08,15112.412354142882
2010-07-09,15283.305472172537
2010-07-12,15529.116602557873
2010-07-13,15925.112723269191
2010-07-14,15854.979476767157
2010-07-15,15389.677611494688
2010-07-16,15056.027287915247
2010-07-19,14694.717757245735
2010-07-20,14881.986610257032
2010-07-21,15333.094774804111
2010-07-22,15630.287603386236
2010-07-23,15776.463852464172
2010-07-26,16072.082185304178
2010-07-27,16070.394373933721
2010-07-28,15929.201141634885
2010-07-29,15555.103167622878
2010-07-30,15530.45748224889
2010-08-02,16135.644262001306
2010-08-03,16036.222220293734
2010-08-04,16231.827586546904
2010-08-05,16198.173421398524
2010-08-06,15631.130115368429
2010-08-09,16101.59345725057
2010-08-10,16175.055224322545
2010-08-11,15612.939773904587
2010-08-12,15349.935788146004
2010-08-13,15457.608296820325
2010-08-16,15243.316108940671
2010-08-17,15743.400150458263
2010-08-18,15656.102397890259
2010-08-19,15105.093945116227
2010-08-20,15166.919681380898
2010-08-23,15310.680285740626
2010-08-24,14783.570321681416
2010-08-25,14702.653287163106
2010-08-26,14808.129963055237
2010-08-27,14774.168518041524
2010-08-30,14953.186453429746
2010-08-31,14708.389758467687
2010-09-01,15312.235693958648
2010-09-02,15429.924629124494
2010-09-03,15846.508850410852
2010-09-07,15894.333455074069
2010-09-08,15990.529399551937
2010-09-09,16285.813842369869
2010-09-10,16225.414648305403
2010-09-13,16537.417357676575
2010-09-14,16454.368381082226
2010-09-15,16273.878672525061
2010-09-16,16247.491038207574
2010-09-17,16339.898566070286
2010-09-20,16735.063663729863
2010-09-21,16914.770170303189
2010-09-22,16190.014408041552
2010-09-23,16276.423695656758
2010-09-24,16447.61489722296
2010-09-27,16430.596667347672
2010-09-28,16335.917660352563
2010-09-29,16211.004246913593
2010-09-30,16192.296967519205
2010-10-01,16069.434822623598
2010-10-04,15955.232656252792
2010-10-05,16245.213802147166
2010-10-06,16348.02533318468
2010-10-07,16243.102148188033
2010-10-08,16411.193953376049
2010-10-11,16551.208803375463
2010-10-12,16616.176145838232
2010-10-13,16890.074926841658
2010-10-14,16628.61224367817
2010-10-15,16598.524887224652
2010-10-18,16738.665953824089
2010-10-19,16739.045859168637
2010-10-20,16847.243387622515
2010-10-21,16854.688978080463
2010-10-22,16913.218474582067
2010-10-25,17136.808141031604
2010-10-26,17164.175827679479
2010-10-27,16940.951495044446
2010-10-28,16961.274221395579
2010-10-29,16985.930126260613
2010-11-01,17256.230452699707
2010-11-02,17117.810874317584
2010-11-03,17224.206144609689
2010-11-04,17566.063647123079
2010-11-05,17931.225973368513
2010-11-08,18123.632205695165
2010-11-09,18155.928955324049
2010-11-10,18210.59459699635
2010-11-11,18167.994116028167
2010-11-12,17846.964491506405
2010-11-15,18042.343280061355
2010-11-16,17411.798695116697
2010-11-17,17463.600936463656
2010-11-18,17897.694796878772
2010-11-19,17846.45144446013
2010-11-22,17743.546497543801
2010-11-23,17597.663869294764
2010-11-24,18046.590428721505
2010-11-26,18154.936703099116
2010-11-29,17986.182632285483
2010-11-30,18083.050813524726
2010-12-01,18779.898205098405
2010-12-02,18993.623993095629
2010-12-03,18838.006335797112
2010-12-06,19118.266174443859
2010-12-07,19209.509764147646
2010-12-08,19312.088813360395
2010-12-09,19426.482318794682
2010-12-10,19514.206467189568
2010-12-13,19625.164636760615
2010-12-14,19658.449597133847
2010-12-15,19439.378354730947
2010-12-16,19782.075062487464
2010-12-17,19983.897295273859
2010-12-20,19952.712509820249
2010-12-21,20235.256128559773
2010-12-22,20465.125820482343
2010-12-23,20440.117922186619
2010-12-27,20340.618448715053
2010-12-28,20447.384182556136
2010-12-29,20595.636802435994
2010-12-30,20228.116895487427
2010-12-31,20380.130587879601
2011-01-03,20653.93775509121
2011-01-04,20414.56515879829
2011-01-05,20971.359534213243
2011-01-06,21099.738545518081
2011-01-07,20968.088559789183
2011-01-10,21047.142359794165
2011-01-11,21376.045496689552
2011-01-12,21545.741971176671
2011-01-13,21019.127716953972
2011-01-14,21184.420936866863
2011-01-18,21129.266704837079
2011-01-19,20825.907092980899
2011-01-20,20587.191649014843
2011-01-21,20657.374823468421
2011-01-24,20450.824822383136
2011-01-25,20598.673668955413
2011-01-26,20797.63609430036
2011-01-27,20684.50744369896
2011-01-28,20485.071343858617
2011-01-31,20338.224948928004
2011-02-01,20853.954952346172
2011-02-02,20930.676889313989
2011-02-03,20947.4485771172
2011-02-04,21311.563651681561
2011-02-07,21888.569129664982
2011-02-08,21455.591136075112
2011-02-09,21570.150531182324
2011-02-10,21635.095527963313
2011-02-11,21902.508538523609
2011-02-14,22283.200189361043
2011-02-15,22150.11921417922
2011-02-16,22385.920767377786
2011-02-17,22316.424986093389
2011-02-18,22469.948594295169
2011-02-22,21743.819700192507
2011-02-23,21004.735221696606
2011-02-24,20968.042285582273
2011-02-25,21407.183509593789
2011-02-28,21559.05102070664
2011-03-01,21314.573107277949
2011-03-02,20967.230089025688
2011-03-03,21469.706971292904
2011-03-04,21282.189000959457
2011-03-07,20842.07548727129
2011-03-08,21263.282197163076
2011-03-09,21051.392951361759
2011-03-10,20748.472978132842
2011-03-11,20644.179307208364
2011-03-14,20110.426199412916
2011-03-15,19810.155615296011
2011-03-16,19431.320047241719
2011-03-17,19571.784711481516
2011-03-18,19720.013189915466
2011-03-21,20071.451706854583
2011-03-22,19974.67561244973
2011-03-23,19961.774513566059
2011-03-24,20343.85814270849
2011-03-25,20879.103833126457
2011-03-28,20752.75765889628
2011-03-29,20793.533476791927
2011-03-30,21164.446502788101
2011-03-31,21004.697128981465
2011-04-01,21349.714311579297
2011-04-04,21176.015191981951
2011-04-05,21213.038363316544
2011-04-06,20950.50153308201
2011-04-07,20920.672606218774
2011-04-08,20963.137491616224
2011-04-11,20703.104477895842
2011-04-12,20228.141560120312
2011-04-13,20144.110006775154
2011-04-14,20142.142292918648
2011-04-15,20369.978999629409
2011-04-18,20068.389846390142
2011-04-19,20140.230931346327
2011-04-20,20673.413094032414
2011-04-21,20770.998262450048
2011-04-25,20770.6570578889
2011-04-26,21017.126053041335
2011-04-27,21147.09687748861
2011-04-28,21075.180885197424
2011-04-29,21132.975143266569
2011-05-02,21151.135341770372
2011-05-03,20896.646074876353
2011-05-04,20465.106962668087
2011-05-05,20666.210062261347
2011-05-06,21224.18366121428
2011-05-09,21571.009380364347
2011-05-10,21635.940796017036
2011-05-11,21498.405803861573
2011-05-12,21334.250839171298
2011-05-13,21423.022120842212
2011-05-16,20981.545884221941
2011-05-17,20934.259935186779
2011-05-18,21069.72123906124
2011-05-19,21340.779087586783
2011-05-20,21347.180954091174
2011-05-23,20925.074557578948
2011-05-24,20864.689144939803
2011-05-25,20932.268180508505
2011-05-26,20905.613582058148
2011-05-27,21190.874505074644
2011-05-31,21200.50981087107
2011-06-01,20599.261079085816
2011-06-02,20282.409634561103
2011-06-03,19821.995046622465
2011-06-06,19468.83588315258
2011-06-07,19323.338533856022
2011-06-08,19152.884680127874
2011-06-09,19359.220628180214
2011-06-10,19021.715803309351
2011-06-13,19150.403146717199
2011-06-14,19284.950143145059
2011-06-15,19267.879823737356
2011-06-16,19410.645722379231
2011-06-17,19201.611574473209
2011-06-20,19238.73840541903
2011-06-21,19712.799805680657
2011-06-22,19700.688911797432
2011-06-23,19441.817701255877
2011-06-24,19385.7751685728
2011-06-27,19336.5313831893
2011-06-28,19709.676440621151
2011-06-29,20123.144559383469
2011-06-30,20281.880403310195
2011-07-01,20658.795931961031
2011-07-05,20825.624057354202
2011-07-06,21056.263754373573
