date,value
2009-06-16,10000
2009-06-17,10081.44
2009-06-18,10100.84
2009-06-19,10218.94
2009-06-22,9659.46
2009-06-23,9664.86
2009-06-24,9630.36
2009-06-25,10289.04
2009-06-26,10098.57
2009-06-29,10292.18
2009-06-30,10101.94
2009-07-01,10107.67
2009-07-02,9617.32
2009-07-06,9782.69
2009-07-07,9218.8
2009-07-08,9327.21
2009-07-09,9331.54
2009-07-10,9199.4
2009-07-13,9579.22
2009-07-14,9843.02
2009-07-15,10178.03
2009-07-16,10269.05
2009-07-17,10417.64
2009-07-20,10517.79
2009-07-21,10668.91
2009-07-22,10743.24
2009-07-23,11042.5
2009-07-24,11161.94
2009-07-27,11286.81
2009-07-28,11230.57
2009-07-29,11262.18
2009-07-30,11762.31
2009-07-31,11583.35
2009-08-03,11567.12
2009-08-04,11742.99
2009-08-05,11582.95
2009-08-06,11628.26
2009-08-07,12104.39
2009-08-10,12017.42
2009-08-11,11700.81
2009-08-12,11944.09
2009-08-13,11982.55
2009-08-14,11712.94
2009-08-17,11513.11
2009-08-18,11564.77
2009-08-19,11497.39
2009-08-20,11918.43
2009-08-21,12288.43
2009-08-24,12493.01
2009-08-25,12456.59
2009-08-26,12446.61
2009-08-27,12227.8
2009-08-28,12321.86
2009-08-31,12071.37
2009-09-01,11837.56
2009-09-02,11760.49
2009-09-03,11710.6
2009-09-04,11983.29
2009-09-08,12103.58
2009-09-09,12339.13
2009-09-10,12431.6
2009-09-11,12565.08
2009-09-14,12455.54
2009-09-15,12713.46
2009-09-16,12879.4
2009-09-17,13010.97
2009-09-18,12935.83
2009-09-21,12981.99
2009-09-22,12986.64
2009-09-23,12973.27
2009-09-24,12598.05
2009-09-25,12526.24
2009-09-28,12858.02
2009-09-29,12996.34
2009-09-30,12672.06
2009-10-01,12402.11
2009-10-02,12068.35
2009-10-05,12212.53
2009-10-06,12687.82
2009-10-07,12712.69
2009-10-08,13022.79
2009-10-09,12973.27
2009-10-12,13217.49
2009-10-13,13112.6
2009-10-14,13320.58
2009-10-15,13258.18
2009-10-16,13229.59
2009-10-19,13592.39
2009-10-20,13382.19
2009-10-21,13487.7
2009-10-22,13084.67
2009-10-23,13083.62
2009-10-26,12896.05
2009-10-27,12923.89
2009-10-28,12505.72
2009-10-29,12657.15
2009-10-30,12333.11
2009-11-02,12342.9
2009-11-03,12317.72
2009-11-04,12671.44
2009-11-05,12727.86
2009-11-06,12786.26
2009-11-09,13152.72
2009-11-10,13389.82
2009-11-11,13491.11
2009-11-12,13464.34
2009-11-13,13476.55
2009-11-16,13836.56
2009-11-17,13824.13
2009-11-18,13720.62
2009-11-19,13402.98
2009-11-20,13362.17
2009-11-23,13759.88
2009-11-24,13653.37
2009-11-25,13706.71
2009-11-27,13438.76
2009-11-30,13216.31
2009-12-01,13602.12
2009-12-02,13649.96
2009-12-03,13652.18
2009-12-04,13667.57
2009-12-07,13808.81
2009-12-08,13600.87
2009-12-09,13521.36
2009-12-10,13838.62
2009-12-11,13956.67
2009-12-14,14227.43
2009-12-15,14238.78
2009-12-16,14244.85
2009-12-17,14138.19
2009-12-18,14102.26
2009-12-21,14593.02
2009-12-22,14632.94
2009-12-23,14660.39
2009-12-24,14677.49
2009-12-28,14851.6
2009-12-29,14923.7
2009-12-30,14802.6
2009-12-31,14748.46
2010-01-04,14891.79
2010-01-05,14970.68
2010-01-06,15066.15
2010-01-07,15136.92
2010-01-08,15256.09
2010-01-11,15062.76
2010-01-12,14972.44
2010-01-13,15067.06
2010-01-14,15265.9
2010-01-15,15088.77
2010-01-19,15453.04
2010-01-20,15244.29
2010-01-21,15062.24
2010-01-22,14752.85
2010-01-25,14184.74
2010-01-26,14446.24
2010-01-27,14152.53
2010-01-28,14081.7
2010-01-29,14290.81
2010-02-01,14210.78
2010-02-02,14517.21
2010-02-03,14499.37
2010-02-04,13960.89
2010-02-05,13842.09
2010-02-08,13885.8
2010-02-09,14004.04
2010-02-10,13909.74
2010-02-11,14208.52
2010-02-12,14059.01
2010-02-16,14556.38
2010-02-17,14800.05
2010-02-18,14899.44
2010-02-19,15391.83
2010-02-22,15144.11
2010-02-23,14892.37
2010-02-24,14963.04
2010-02-25,14717.13
2010-02-26,14945.74
2010-03-01,15539.66
2010-03-02,15639.32
2010-03-03,15450.03
2010-03-04,15538.95
2010-03-05,15845.75
2010-03-08,15916.94
2010-03-09,16140.7
2010-03-10,16222.09
2010-03-11,16109.75
2010-03-12,16165.46
2010-03-15,16125.52
2010-03-16,16358.08
2010-03-17,16539.04
2010-03-18,16622.38
2010-03-19,16603.8
2010-03-22,16801.29
2010-03-23,16893.51
2010-03-24,17171.61
2010-03-25,17403.66
2010-03-26,17032.56
2010-03-29,17187.22
2010-03-30,17110.64
2010-03-31,17024
2010-04-01,17260.67
2010-04-05,17133.76
2010-04-06,17718.51
2010-04-07,17602.52
2010-04-08,17562.57
2010-04-09,17691.98
2010-04-12,17693.48
2010-04-13,17599.28
2010-04-14,17857.76
2010-04-15,18205.06
2010-04-16,17684.92
2010-04-19,17675.49
2010-04-20,18069.2
2010-04-21,18182.82
2010-04-22,18009.3
2010-04-23,18349.75
2010-04-26,18768.24
2010-04-27,17867.68
2010-04-28,17975.92
2010-04-29,18374.35
2010-04-30,18249.01
2010-05-03,18156.48
2010-05-04,17705.15
2010-05-05,17692.49
2010-05-06,17393.4
2010-05-07,17531.44
2010-05-10,17367.99
2010-05-11,17628.27
2010-05-12,17839.66
2010-05-13,18047.68
2010-05-14,17325
2010-05-17,17344.48
2010-05-18,17230.12
2010-05-19,16641.35
2010-05-20,16103.18
2010-05-21,15689.67
2010-05-24,15812.1
2010-05-25,15130.05
2010-05-26,15949.36
2010-05-27,16238.95
2010-05-28,16131.59
2010-06-01,15954.25
2010-06-02,15942.33
2010-06-03,16536.84
2010-06-04,16189.75
2010-06-07,15700.42
2010-06-08,15428.9
2010-06-09,15890.35
2010-06-10,15971.26
2010-06-11,16159.99
2010-06-14,16383.58
2010-06-15,16339.76
2010-06-16,16671.75
2010-06-17,16638.54
2010-06-18,16864.19
2010-06-21,16905.66
2010-06-22,16757.59
2010-06-23,16243.19
2010-06-24,15583.72
