date,adjustedClose
1900-01-02,10000.00
1900-01-03,10000.85
1900-01-04,10001.71
1900-01-05,10002.56
1900-01-08,10003.41
1900-01-09,10004.27
1900-01-10,10005.12
1900-01-11,10005.97
1900-01-12,10006.83
1900-01-15,10007.68
1900-01-16,10008.54
1900-01-17,10009.39
1900-01-18,10010.24
1900-01-19,10011.10
1900-01-22,10011.95
1900-01-23,10012.81
1900-01-24,10013.66
1900-01-25,10014.51
1900-01-26,10015.37
1900-01-29,10016.22
1900-01-30,10017.08
1900-01-31,10017.93
1900-02-01,10018.79
1900-02-02,10019.64
1900-02-05,10020.50
1900-02-06,10021.35
1900-02-07,10022.20
1900-02-08,10023.06
1900-02-09,10023.91
1900-02-13,10024.77
1900-02-14,10025.62
1900-02-15,10026.47
1900-02-16,10027.33
1900-02-19,10028.18
1900-02-20,10029.03
1900-02-21,10029.88
1900-02-23,10030.74
1900-02-26,10031.59
1900-02-27,10032.44
1900-02-28,10033.29
1900-03-01,10034.15
1900-03-02,10035.00
1900-03-05,10035.85
1900-03-06,10036.70
1900-03-07,10037.55
1900-03-08,10038.41
1900-03-09,10039.26
1900-03-12,10040.11
1900-03-13,10040.96
1900-03-14,10041.82
1900-03-15,10042.67
1900-03-16,10043.52
1900-03-19,10044.38
1900-03-20,10045.23
1900-03-21,10046.08
1900-03-22,10046.93
1900-03-23,10047.79
1900-03-26,10048.64
1900-03-27,10049.49
1900-03-28,10050.35
1900-03-29,10051.20
1900-03-30,10052.05
1900-04-02,10052.91
1900-04-03,10053.76
1900-04-04,10054.62
1900-04-05,10055.47
1900-04-06,10056.32
1900-04-09,10057.17
1900-04-10,10058.03
1900-04-11,10058.88
1900-04-12,10059.73
1900-04-16,10060.59
1900-04-17,10061.44
1900-04-18,10062.29
1900-04-19,10063.14
1900-04-20,10063.99
1900-04-23,10064.85
1900-04-24,10065.70
1900-04-25,10066.55
1900-04-26,10067.40
1900-04-27,10068.25
1900-04-30,10069.10
1900-05-01,10069.95
1900-05-02,10070.81
1900-05-03,10071.66
1900-05-04,10072.51
1900-05-07,10073.36
1900-05-08,10074.21
1900-05-09,10075.06
1900-05-10,10075.91
1900-05-11,10076.77
1900-05-14,10077.62
1900-05-15,10078.47
1900-05-16,10079.32
1900-05-17,10080.17
1900-05-18,10081.02
1900-05-21,10081.88
1900-05-22,10082.73
1900-05-23,10083.58
1900-05-24,10084.43
1900-05-25,10085.29
1900-05-28,10086.14
