date,value
1968-04-01,10000
1968-04-02,9893.9
1968-04-03,9973.47
1968-04-04,9801.06
1968-04-05,9814.32
1968-04-08,9827.59
1968-04-10,10000
1968-04-11,10079.58
1968-04-15,10079.58
1968-04-16,10079.58
1968-04-17,10026.53
1968-04-18,9960.21
1968-04-19,9986.74
1968-04-22,10079.58
1968-04-23,10185.68
1968-04-24,10145.89
1968-04-25,10159.15
1968-04-26,10251.99
1968-04-29,10278.51
1968-04-30,10371.35
1968-05-01,10397.88
1968-05-02,10464.19
1968-05-03,10371.35
1968-05-06,10543.77
1968-05-07,10424.4
1968-05-08,10543.77
1968-05-09,10530.5
1968-05-10,10503.98
1968-05-13,10477.45
1968-05-14,10557.03
1968-05-15,10676.39
1968-05-16,10941.64
1968-05-17,11007.96
1968-05-20,11220.16
1968-05-21,11246.68
1968-05-22,11021.22
1968-05-23,10981.43
1968-05-24,11074.27
1968-05-27,11007.96
1968-05-28,11007.96
1968-05-29,11034.48
1968-05-31,11127.32
1968-06-03,11127.32
1968-06-04,10915.12
1968-06-05,10928.38
1968-06-06,10928.38
1968-06-07,10941.64
1968-06-10,10954.91
1968-06-11,11021.22
1968-06-13,10954.91
1968-06-14,10875.33
1968-06-17,10795.76
1968-06-18,10901.86
1968-06-20,10901.86
1968-06-21,10888.59
1968-06-24,10848.81
1968-06-25,10862.07
1968-06-27,10848.81
1968-06-28,10848.81
1968-07-01,10822.28
1968-07-02,10848.81
1968-07-03,10888.59
1968-07-08,10835.54
1968-07-09,10557.03
1968-07-11,10371.35
1968-07-12,10424.4
1968-07-15,10397.88
1968-07-16,10212.2
1968-07-18,10079.58
1968-07-19,10265.25
1968-07-22,10238.73
1968-07-23,10344.83
1968-07-25,10318.3
1968-07-26,10318.3
1968-07-29,10371.35
1968-07-30,10344.83
1968-08-01,10318.3
1968-08-02,10305.04
1968-08-05,10331.56
1968-08-06,10265.25
1968-08-08,10198.94
1968-08-09,10225.46
1968-08-12,10238.73
1968-08-13,10318.3
1968-08-15,10384.62
1968-08-16,10384.62
1968-08-19,10384.62
1968-08-20,10490.72
1968-08-22,10543.77
1968-08-23,10477.45
1968-08-26,10477.45
1968-08-27,10517.24
1968-08-29,10570.29
1968-08-30,10557.03
1968-09-03,10596.82
1968-09-04,10583.55
1968-09-05,10636.6
1968-09-06,10583.55
1968-09-09,10623.34
1968-09-10,10618.04
1968-09-12,10636.6
1968-09-13,10649.87
1968-09-16,10689.66
1968-09-17,10689.66
1968-09-19,10729.44
1968-09-20,10716.18
1968-09-23,10716.18
1968-09-24,10729.44
1968-09-26,10729.44
1968-09-27,10644.56
1968-09-30,10503.98
1968-10-01,10464.19
1968-10-03,10392.57
1968-10-04,10358.09
1968-10-07,10551.72
1968-10-08,10503.98
1968-10-10,10358.09
1968-10-11,10419.1
1968-10-14,10424.4
1968-10-15,10371.35
1968-10-17,10419.1
1968-10-18,10371.35
1968-10-21,10344.83
1968-10-22,10358.09
1968-10-24,10397.88
1968-10-25,10411.14
1968-10-28,10472.15
1968-10-29,10477.45
1968-10-31,10344.83
1968-11-01,10392.57
1968-11-04,10397.88
1968-11-06,10485.41
1968-11-07,10424.4
1968-11-08,10450.93
1968-11-12,10525.2
1968-11-13,10578.25
1968-11-14,10583.55
1968-11-15,10610.08
1968-11-18,10596.82
1968-11-19,10671.09
1968-11-21,10676.39
1968-11-22,10610.08
1968-11-25,10636.6
1968-11-26,10530.5
1968-11-27,10583.55
1968-11-29,10570.29
1968-12-02,10649.87
1968-12-03,10684.35
1968-12-05,10702.92
1968-12-06,10742.71
1968-12-09,10769.23
1968-12-10,10777.19
1968-12-12,10870.03
1968-12-13,10875.33
1968-12-16,10867.37
1968-12-17,10936.34
1968-12-19,11068.97
1968-12-20,11061.01
1968-12-23,11034.48
1968-12-24,11034.48
1968-12-26,11034.48
1968-12-27,11074.27
1968-12-30,11114.06
1968-12-31,11114.06
1969-01-02,11087.53
1969-01-03,11153.85
1969-01-06,11153.85
1969-01-07,11167.11
1969-01-08,11259.95
1969-01-09,11273.21
1969-01-10,11220.16
1969-01-13,11167.11
1969-01-14,11273.21
1969-01-15,11326.26
1969-01-16,11233.42
1969-01-17,11193.63
1969-01-20,11193.63
1969-01-21,11267.9
1969-01-22,11281.17
1969-01-23,11153.85
1969-01-24,11167.11
1969-01-27,11193.63
1969-01-28,11254.64
1969-01-29,11273.21
1969-01-30,11286.47
1969-01-31,11283.82
1969-02-03,11254.64
1969-02-04,11273.21
1969-02-05,11334.22
1969-02-06,11307.69
1969-02-07,11281.17
1969-02-11,11286.47
1969-02-12,11273.21
1969-02-13,11294.43
1969-02-14,11273.21
1969-02-17,11313
1969-02-18,11294.43
1969-02-19,11313
1969-02-20,11307.69
1969-02-24,11326.26
1969-02-25,11313
1969-02-26,11326.26
1969-02-27,11352.79
1969-02-28,11326.26
1969-03-03,11326.26
1969-03-04,11366.05
1969-03-05,11405.84
1969-03-06,11472.15
1969-03-07,11538.46
1969-03-10,11625.99
1969-03-11,11392.57
1969-03-12,11366.05
1969-03-13,11432.36
1969-03-14,11405.84
1969-03-17,11432.36
1969-03-18,11405.84
1969-03-19,11432.36
1969-03-20,11458.89
1969-03-21,11458.89
1969-03-24,11498.67
1969-03-25,11498.67
1969-03-26,11519.89
1969-03-27,11527.85
1969-03-28,11466.84
1969-04-01,11445.62
1969-04-02,11472.15
1969-04-03,11506.63
1969-04-07,11506.63
1969-04-08,11506.63
1969-04-09,11511.94
1969-04-10,11509.28
1969-04-11,11511.94
1969-04-14,11445.62
1969-04-15,11400.53
1969-04-16,11472.15
1969-04-17,11458.89
1969-04-18,11466.84
1969-04-21,11445.62
1969-04-22,11485.41
1969-04-23,11498.67
1969-04-24,11498.67
1969-04-25,11485.41
1969-04-28,11564.99
1969-04-29,11538.46
1969-04-30,11564.99
1969-05-01,11564.99
1969-05-02,11564.99
1969-05-05,11538.46
1969-05-06,11506.63
1969-05-07,11564.99
1969-05-08,11572.94
1969-05-09,11546.42
1969-05-12,11538.46
1969-05-13,11538.46
1969-05-14,11538.46
1969-05-15,11538.46
1969-05-16,11538.46
1969-05-19,11538.46
1969-05-20,11519.89
1969-05-21,11525.2
1969-05-22,11525.2
1969-05-23,11538.46
1969-05-26,11538.46
1969-05-27,11533.16
1969-05-28,11493.37
1969-05-29,11466.84
1969-06-02,11320.95
1969-06-03,11217.51
1969-06-04,11161.8
1969-06-05,11034.48
1969-06-06,10777.19
1969-06-09,10941.64
