date,value
1968-04-01,10000
1968-04-02,9893.86
1968-04-03,9973.4
1968-04-04,9800.96
1968-04-05,9814.18
1968-04-08,9827.41
1968-04-10,9999.79
1968-04-11,10079.32
1968-04-15,10079.29
1968-04-16,10079.25
1968-04-17,10026.17
1968-04-18,9959.82
1968-04-19,9986.31
1968-04-22,10079.11
1968-04-23,10185.17
1968-04-24,10145.35
1968-04-25,10158.57
1968-04-26,10251.37
1968-04-29,10277.85
1968-04-30,10370.65
1968-05-01,10397.14
1968-05-02,10463.41
1968-05-03,10370.54
1968-05-06,10542.9
1968-05-07,10423.51
1968-05-08,10542.83
1968-05-09,10529.53
1968-05-10,10502.97
1968-05-13,10476.41
1968-05-14,10555.94
1968-05-15,10675.25
1968-05-16,10940.44
1968-05-17,11006.7
1968-05-20,11218.84
1968-05-21,11245.32
1968-05-22,11019.85
1968-05-23,10980.02
1968-05-24,11072.81
1968-05-27,11006.47
1968-05-28,11006.43
1968-05-29,11032.91
1968-05-31,11125.7
1968-06-03,11125.66
1968-06-04,10913.45
1968-06-05,10926.67
1968-06-06,10926.63
1968-06-07,10939.85
1968-06-10,10953.07
1968-06-11,11019.33
1968-06-13,10952.99
1968-06-14,10873.39
1968-06-17,10793.79
1968-06-18,10899.84
1968-06-20,10899.8
1968-06-21,10886.5
1968-06-24,10846.68
1968-06-25,10859.9
1968-06-27,10846.6
1968-06-28,10846.56
1968-07-01,10820
1968-07-02,10846.48
1968-07-03,10886.23
1968-07-08,10833.15
1968-07-09,10554.66
1968-07-11,10368.98
1968-07-12,10421.98
1968-07-15,10395.43
1968-07-16,10209.76
1968-07-18,10077.13
1968-07-19,10262.72
1968-07-22,10236.17
1968-07-23,10342.21
1968-07-25,10315.65
1968-07-26,10315.61
1968-07-29,10368.61
1968-07-30,10342.06
1968-08-01,10315.5
1968-08-02,10302.21
1968-08-05,10328.69
1968-08-06,10262.36
1968-08-08,10196.03
1968-08-09,10222.51
1968-08-12,10235.73
1968-08-13,10315.25
1968-08-15,10381.5
1968-08-16,10381.46
1968-08-19,10381.43
1968-08-20,10487.46
1968-08-22,10540.46
1968-08-23,10474.13
1968-08-26,10474.09
1968-08-27,10513.83
1968-08-29,10566.82
1968-08-30,10553.53
1968-09-03,10593.26
1968-09-04,10579.97
1968-09-05,10632.96
1968-09-06,10579.89
1968-09-09,10619.63
1968-09-10,10614.29
1968-09-12,10632.81
1968-09-13,10646.03
1968-09-16,10685.76
1968-09-17,10685.73
1968-09-19,10725.46
1968-09-20,10712.17
1968-09-23,10712.13
1968-09-24,10725.35
1968-09-26,10725.31
1968-09-27,10640.42
1968-09-30,10499.85
1968-10-01,10460.05
1968-10-03,10388.42
1968-10-04,10353.91
1968-10-07,10547.43
