date,value
1987-12-31,10000
1988-01-04,9808.8
1988-01-05,9780.13
1988-01-06,9566.22
1988-01-07,9522.04
1988-01-08,9614.72
1988-01-11,9384.68
1988-01-12,9439.58
1988-01-13,9488.63
1988-01-14,9412.4
1988-01-15,9519.75
1988-01-18,9530.95
1988-01-19,9623.93
1988-01-20,9495.12
1988-01-21,9262.51
1988-01-22,9203.07
1988-01-25,9023.72
1988-01-26,9146.87
1988-01-27,9101.72
1988-01-28,9053.97
1988-01-29,9116.47
1988-02-01,8999.21
1988-02-02,8897.97
1988-02-03,8853.6
1988-02-04,8786.75
1988-02-05,8945.5
1988-02-08,8891.22
1988-02-09,8662.53
1988-02-10,8594.99
1988-02-11,8571.75
1988-02-12,8759.51
1988-02-16,8804.68
1988-02-17,8779.85
1988-02-18,8984.78
1988-02-19,9106.55
1988-02-22,9127.47
1988-02-23,9260.62
1988-02-24,9471.82
1988-02-25,9421.85
1988-02-26,9440.44
1988-02-29,9471.56
1988-03-01,9481.45
1988-03-02,9703.48
1988-03-03,9666.36
1988-03-04,9489.55
1988-03-07,9456.92
1988-03-08,9462.73
1988-03-09,9339.36
1988-03-10,9412.49
1988-03-11,9489.44
1988-03-14,9559.72
1988-03-15,9428.77
1988-03-16,9398.68
1988-03-17,9516.56
1988-03-18,9607.93
1988-03-21,9546.86
1988-03-22,9458.53
1988-03-23,9254.89
1988-03-24,9331.68
1988-03-25,9381.34
1988-03-28,9283.15
1988-03-29,9366.81
1988-03-30,9344.02
1988-03-31,9295.32
1988-04-04,9287.99
1988-04-05,9167.21
1988-04-06,9077.15
1988-04-07,9045.02
1988-04-08,9050.66
1988-04-11,8885.91
1988-04-12,8880.92
1988-04-13,8903.03
1988-04-14,8806.83
1988-04-15,8917
1988-04-18,8939.23
1988-04-19,9035.31
1988-04-20,9102.87
1988-04-21,8994.62
1988-04-22,8985.21
1988-04-25,8986.08
1988-04-26,9034.38
1988-04-27,9227.79
1988-04-28,9129.22
1988-04-29,9037.24
1988-05-02,9085.86
1988-05-03,9096.18
1988-05-04,9133.3
1988-05-05,9141.83
1988-05-06,9248.04
1988-05-09,9285.04
1988-05-10,9182.36
1988-05-11,9308.49
1988-05-12,9559.38
1988-05-13,9651.28
1988-05-16,9644.37
1988-05-17,9538.32
1988-05-18,9329.04
1988-05-19,9379.09
1988-05-20,9357.77
1988-05-23,9480.42
1988-05-24,9585.86
1988-05-25,9599.48
1988-05-26,9633.95
1988-05-27,9742.5
1988-05-31,9733.11
1988-06-01,9876.79
1988-06-02,9935.35
1988-06-03,9932.05
1988-06-06,9990.77
1988-06-07,10197.98
1988-06-08,10292.56
1988-06-09,10606.74
1988-06-10,10585.49
1988-06-13,10528.42
1988-06-14,10546.62
1988-06-15,10545.98
1988-06-16,10635.69
1988-06-17,10673.46
1988-06-20,10879.96
1988-06-21,10855.36
1988-06-22,10972.11
1988-06-23,11085.4
1988-06-24,11385.64
1988-06-27,11360.71
1988-06-28,11399.98
1988-06-29,11459.79
1988-06-30,11564.62
1988-07-01,11698.99
1988-07-05,11391.34
1988-07-06,11326.81
1988-07-07,11306.44
1988-07-08,11173.67
1988-07-11,11162.9
1988-07-12,11231.43
1988-07-13,11081.4
1988-07-14,11071.63
1988-07-15,11150.11
1988-07-18,11057.66
1988-07-19,10929.76
1988-07-20,10769.31
1988-07-21,10626.34
1988-07-22,10451.78
1988-07-25,10464.7
1988-07-26,10371.52
1988-07-27,10191.88
1988-07-28,10174.51
1988-07-29,10231.08
1988-08-01,10248.93
1988-08-02,10389.73
1988-08-03,10607.58
1988-08-04,10518.65
1988-08-05,10744.26
1988-08-08,10719.68
1988-08-09,10781.3
1988-08-10,10748.13
1988-08-11,10606.46
1988-08-12,10487.7
1988-08-15,10597.42
1988-08-16,10688.95
1988-08-17,10485.65
1988-08-18,10541.28
1988-08-19,10650.17
1988-08-22,10750.91
1988-08-23,11065.24
1988-08-24,10807.82
1988-08-25,10834.61
1988-08-26,10941.14
1988-08-29,11024.59
1988-08-30,11283.63
1988-08-31,11284.46
1988-09-01,11434.13
1988-09-02,11374.05
1988-09-06,11344.52
1988-09-07,11170.22
1988-09-08,11285.04
1988-09-09,11397.02
1988-09-12,11409.84
1988-09-13,11429.55
1988-09-14,11483.06
1988-09-15,11486.99
1988-09-16,11468.14
1988-09-19,11414.38
1988-09-20,11510.65
1988-09-21,11633.65
1988-09-22,11593.88
1988-09-23,11773.78
1988-09-26,11849.88
1988-09-27,11692.31
1988-09-28,11829.68
1988-09-29,11674.05
1988-09-30,11562.42
1988-10-03,11520.19
1988-10-04,11543.82
1988-10-05,11529.06
1988-10-06,11559.5
1988-10-07,11475.66
1988-10-10,11264.92
1988-10-11,11282.95
1988-10-12,11323.77
1988-10-13,11142.64
1988-10-14,11179.91
1988-10-17,11180.65
1988-10-18,11232.31
1988-10-19,11130.31
1988-10-20,11242.47
1988-10-21,11300.87
1988-10-24,11259.77
1988-10-25,11190.62
1988-10-26,11287.54
1988-10-27,11229.48
1988-10-28,11175.21
1988-10-31,11381.6
1988-11-01,11556.11
1988-11-02,11538.56
1988-11-03,11632.44
1988-11-04,11605.37
1988-11-07,11497.8
1988-11-08,11357.3
1988-11-09,11340.12
1988-11-10,11526.86
