date,value
1986-01-02,10000
1986-01-03,9889.43
1986-01-06,9855.4
1986-01-07,10220.73
1986-01-08,9966.05
1986-01-09,9603.68
1986-01-10,9713.45
1986-01-13,9639.28
1986-01-14,9649.12
1986-01-15,9996.53
1986-01-16,10225.37
1986-01-17,10177.03
1986-01-20,9993.92
1986-01-21,9912.71
1986-01-22,9686.66
1986-01-23,9630.74
1986-01-24,9765.77
1986-01-27,9850.62
1986-01-28,10027.73
1986-01-29,10186.62
1986-01-30,10049.57
1986-01-31,10158.26
1986-02-03,10354.64
1986-02-04,10406.37
1986-02-05,10575.77
1986-02-06,10715.28
1986-02-07,10833.67
1986-02-10,10941.57
1986-02-11,10958.12
1986-02-12,11017.38
1986-02-13,11092.74
1986-02-14,11248.1
1986-02-18,11336.91
1986-02-19,11155.47
1986-02-20,11199.28
1986-02-21,11388.86
1986-02-24,11231.32
1986-02-25,11098.97
1986-02-26,11012.01
1986-02-27,11269.57
1986-02-28,11249.31
1986-03-03,11134.55
1986-03-04,11257.96
1986-03-05,11207.37
1986-03-06,11291.2
1986-03-07,11243.93
1986-03-10,11545.6
1986-03-11,12011.6
1986-03-12,12218.71
1986-03-13,12279.33
1986-03-14,12273.34
1986-03-17,12163.72
1986-03-18,12368.79
1986-03-19,12337.63
1986-03-20,12388.58
1986-03-21,12417.87
1986-03-24,12260.87
1986-03-25,12323.27
1986-03-26,12278.82
1986-03-27,12462.94
1986-03-31,12538.85
1986-04-01,12465.32
1986-04-02,12539.84
1986-04-03,12500.04
1986-04-04,12213.43
1986-04-07,12048.14
1986-04-08,12517.6
1986-04-09,12535.29
1986-04-10,12985.14
1986-04-11,13134.87
1986-04-14,13349.01
1986-04-15,13516.2
1986-04-16,14206.14
1986-04-17,14230.1
1986-04-18,13975
1986-04-21,14124.55
1986-04-22,14000.34
1986-04-23,13924.48
1986-04-24,14342.51
1986-04-25,14447.3
1986-04-28,14341.67
1986-04-29,14040.95
1986-04-30,13443.52
1986-05-01,13317.44
1986-05-02,13451.22
1986-05-05,13816.44
1986-05-06,13810.2
1986-05-07,13651.03
1986-05-08,13805.55
1986-05-09,13932.81
1986-05-12,13899.94
1986-05-13,13772.01
1986-05-14,13758.72
1986-05-15,13536.77
1986-05-16,13400.24
1986-05-19,13449.4
1986-05-20,13739.4
1986-05-21,13810.07
1986-05-22,14189.71
1986-05-23,14279.29
1986-05-27,14456.39
1986-05-28,14474.88
1986-05-29,14525.75
1986-05-30,14797.79
1986-06-02,14587.83
1986-06-03,14597.28
1986-06-04,14540.06
1986-06-05,14632.23
1986-06-06,14540.89
1986-06-09,13948.56
1986-06-10,13854.25
1986-06-11,14187.94
1986-06-12,14243.53
1986-06-13,14590.56
1986-06-16,14307.09
1986-06-17,13905.57
1986-06-18,13885.19
1986-06-19,14020.78
1986-06-20,14070.75
1986-06-23,14060.8
1986-06-24,14274.69
1986-06-25,14483.05
1986-06-26,14428.22
1986-06-27,14405.64
1986-06-30,14578.64
1986-07-01,14699.28
1986-07-02,14809.48
1986-07-03,14903.95
1986-07-07,13652.39
1986-07-08,12890.9
1986-07-09,13248.36
1986-07-10,13053.08
1986-07-11,12805.33
1986-07-14,12203.14
1986-07-15,11703.97
1986-07-16,11884.33
1986-07-17,12053.12
1986-07-18,11934.11
1986-07-21,11818.9
1986-07-22,11869.88
1986-07-23,11829.14
1986-07-24,11841.58
1986-07-25,11995.53
1986-07-28,11545.18
1986-07-29,11336.91
1986-07-30,11382.19
1986-07-31,11378.68
1986-08-01,11323.19
1986-08-04,11058.96
1986-08-05,10951.57
1986-08-06,10744.41
1986-08-07,10764.04
1986-08-08,11005.54
1986-08-11,11489.4
1986-08-12,11741.84
1986-08-13,12022.58
1986-08-14,12206.3
1986-08-15,12132.48
1986-08-18,12047.59
1986-08-19,11966.3
1986-08-20,12149.5
1986-08-21,12188.14
1986-08-22,12335.74
1986-08-25,12163.81
1986-08-26,12363.16
1986-08-27,12500.27
1986-08-28,12499.95
1986-08-29,12440.48
1986-09-02,12049.77
1986-09-03,12123.72
1986-09-04,12375.95
1986-09-05,12089.6
1986-09-08,11582.08
1986-09-09,11453.88
1986-09-10,11290.2
1986-09-11,10307.21
1986-09-12,9793.57
1986-09-15,9777.64
1986-09-16,9813.94
1986-09-17,9982.42
1986-09-18,10234.25
1986-09-19,10280.22
1986-09-22,10523.74
1986-09-23,10436.63
1986-09-24,10385.8
1986-09-25,10141.11
1986-09-26,10133.75
1986-09-29,9827.31
1986-09-30,10109.74
1986-10-01,10218.53
1986-10-02,10209.63
1986-10-03,10256.94
1986-10-06,10336.92
1986-10-07,10204.78
1986-10-08,10351.06
1986-10-09,10333.22
1986-10-10,10435.71
1986-10-13,10553.6
1986-10-14,10594.03
1986-10-15,10760.78
1986-10-16,10724.34
1986-10-17,10616.94
1986-10-20,10449.93
1986-10-21,10421.55
1986-10-22,10473.52
1986-10-23,10746.67
1986-10-24,10716.37
1986-10-27,10681.56
1986-10-28,10789.99
1986-10-29,10882.3
1986-10-30,11130.05
1986-10-31,11080.68
1986-11-03,11128.04
1986-11-04,11303.07
1986-11-05,11332.01
1986-11-06,11209.26
1986-11-07,11128.9
1986-11-10,11030.4
1986-11-11,11189.22
1986-11-12,11221.34
1986-11-13,10883.54
1986-11-14,10894.04
1986-11-17,10540.04
1986-11-18,10457.8
1986-11-19,10287.69
1986-11-20,10545.59
1986-11-21,10779.81
1986-11-24,11018.04
1986-11-25,11208.48
1986-11-26,11374.35
1986-11-28,11536.72
1986-12-01,11363.14
1986-12-02,11669.06
1986-12-03,11858.13
1986-12-04,11838.77
1986-12-05,11686.91
1986-12-08,11495.27
1986-12-09,11341.06
1986-12-10,11351.69
1986-12-11,11212.47
1986-12-12,11040.33
1986-12-15,10898.25
1986-12-16,10958.37
1986-12-17,10734.54
1986-12-18,10702.67
1986-12-19,10837.28
1986-12-22,10882.12
1986-12-23,10685.4
1986-12-24,10679.16
1986-12-26,10698.27
1986-12-29,10694.08
1986-12-30,10475.48
1986-12-31,10451.03
1987-01-02,10662.09
1987-01-05,11337.73
1987-01-06,11587.95
1987-01-07,12192.37
1987-01-08,12622.38
1987-01-09,12829.49
1987-01-12,13204.79
1987-01-13,13252.19
1987-01-14,13753.13
1987-01-15,14001.04
1987-01-16,13717.17
1987-01-19,14379.97
1987-01-20,14386.03
1987-01-21,13991.26
1987-01-22,14614
1987-01-23,14404.32
1987-01-26,13947.38
1987-01-27,14371.45
1987-01-28,14534.21
1987-01-29,14202.06
1987-01-30,14358.81
1987-02-02,14979.82
1987-02-03,15195.18
1987-02-04,15534.38
1987-02-05,15732.19
1987-02-06,15727.51
1987-02-09,15542.57
1987-02-10,15303.25
1987-02-11,15948.71
1987-02-12,15994.62
1987-02-13,16498.02
1987-02-17,17338.58
1987-02-18,16872.57
1987-02-19,16618.06
1987-02-20,16395.19
1987-02-23,16210.49
1987-02-24,16430.15
1987-02-25,16798.17
1987-02-26,17019.73
1987-02-27,17119.34
1987-03-02,16797.54
1987-03-03,16699.67
