date,value
1986-01-02,10000
1986-01-03,9946.67
1986-01-06,9931.43
1986-01-07,10117.33
1986-01-08,9993.14
1986-01-09,9813.33
1986-01-10,9871.24
1986-01-13,9835.43
1986-01-14,9842.29
1986-01-15,10021.33
1986-01-16,10137.9
1986-01-17,10115.81
1986-01-20,10026.67
1986-01-21,9987.81
1986-01-22,9875.81
1986-01-23,9849.14
1986-01-24,9920
1986-01-27,9964.95
1986-01-28,10056.38
1986-01-29,10137.9
1986-01-30,10071.62
1986-01-31,10128
1986-02-03,10227.81
1986-02-04,10255.24
1986-02-05,10340.57
1986-02-06,10410.67
1986-02-07,10470.1
1986-02-10,10524.19
1986-02-11,10534.1
1986-02-12,10564.57
1986-02-13,10602.67
1986-02-14,10678.86
1986-02-18,10723.05
1986-02-19,10639.24
1986-02-20,10662.1
1986-02-21,10754.29
1986-02-24,10681.9
1986-02-25,10620.95
1986-02-26,10581.33
1986-02-27,10707.05
1986-02-28,10699.43
1986-03-03,10646.86
1986-03-04,10707.81
1986-03-05,10685.71
1986-03-06,10727.62
1986-03-07,10707.05
1986-03-10,10852.57
1986-03-11,11073.52
1986-03-12,11171.05
1986-03-13,11200.76
1986-03-14,11200
1986-03-17,11152
1986-03-18,11248
1986-03-19,11235.81
1986-03-20,11260.95
1986-03-21,11276.19
1986-03-24,11206.86
1986-03-25,11237.33
1986-03-26,11219.05
1986-03-27,11305.14
1986-03-31,11341.71
1986-04-01,11310.48
1986-04-02,11346.29
1986-04-03,11330.29
1986-04-04,11202.29
1986-04-07,11128.38
1986-04-08,11347.05
1986-04-09,11356.95
1986-04-10,11562.67
1986-04-11,11631.24
1986-04-14,11728
1986-04-15,11803.43
1986-04-16,12106.67
1986-04-17,12118.86
1986-04-18,12012.19
1986-04-21,12078.48
1986-04-22,12027.43
1986-04-23,11996.95
1986-04-24,12179.05
1986-04-25,12225.52
1986-04-28,12182.86
1986-04-29,12057.14
1986-04-30,11802.67
1986-05-01,11749.33
1986-05-02,11810.29
1986-05-05,11972.57
1986-05-06,11971.81
1986-05-07,11904.76
1986-05-08,11974.1
1986-05-09,12031.24
1986-05-12,12019.05
1986-05-13,11965.71
1986-05-14,11961.9
1986-05-15,11867.43
1986-05-16,11809.52
1986-05-19,11833.14
1986-05-20,11962.67
1986-05-21,11995.43
1986-05-22,12162.29
1986-05-23,12202.67
1986-05-27,12280.38
1986-05-28,12290.29
1986-05-29,12313.9
1986-05-30,12431.24
1986-06-02,12345.14
1986-06-03,12351.24
1986-06-04,12329.14
1986-06-05,12370.29
1986-06-06,12333.71
1986-06-09,12084.57
1986-06-10,12045.71
1986-06-11,12192.76
1986-06-12,12218.67
1986-06-13,12369.52
1986-06-16,12251.43
1986-06-17,12081.52
1986-06-18,12074.67
1986-06-19,12135.62
1986-06-20,12159.24
1986-06-23,12156.95
1986-06-24,12251.43
1986-06-25,12342.86
1986-06-26,12321.52
1986-06-27,12313.9
1986-06-30,12390.1
1986-07-01,12443.43
1986-07-02,12492.19
1986-07-03,12534.1
1986-07-07,12009.9
1986-07-08,11676.95
1986-07-09,11840.76
1986-07-10,11755.43
1986-07-11,11645.71
1986-07-14,11373.71
1986-07-15,11142.86
1986-07-16,11230.48
1986-07-17,11312
1986-07-18,11257.9
1986-07-21,11205.33
1986-07-22,11231.24
1986-07-23,11213.71
1986-07-24,11221.33
1986-07-25,11296
1986-07-28,11085.71
1986-07-29,10987.43
1986-07-30,11011.05
1986-07-31,11011.05
1986-08-01,10985.9
1986-08-04,10859.43
1986-08-05,10808.38
1986-08-06,10707.81
1986-08-07,10719.24
1986-08-08,10841.14
1986-08-11,11081.14
1986-08-12,11204.57
1986-08-13,11340.19
1986-08-14,11428.57
1986-08-15,11395.81
1986-08-18,11357.71
1986-08-19,11321.14
1986-08-20,11409.52
1986-08-21,11429.33
1986-08-22,11500.19
1986-08-25,11421.71
1986-08-26,11516.95
1986-08-27,11582.48
1986-08-28,11584
1986-08-29,11558.1
1986-09-02,11378.29
1986-09-03,11414.86
1986-09-04,11535.24
1986-09-05,11403.43
1986-09-08,11165.71
1986-09-09,11105.52
1986-09-10,11027.81
1986-09-11,10549.33
1986-09-12,10288
1986-09-15,10281.14
1986-09-16,10301.71
1986-09-17,10391.62
1986-09-18,10524.19
1986-09-19,10549.33
1986-09-22,10675.81
1986-09-23,10633.14
1986-09-24,10608.76
1986-09-25,10485.33
1986-09-26,10483.05
1986-09-29,10326.1
1986-09-30,10476.19
1986-10-01,10534.1
1986-10-02,10531.05
1986-10-03,10556.95
1986-10-06,10599.62
1986-10-07,10533.33
1986-10-08,10610.29
1986-10-09,10602.67
1986-10-10,10656.76
1986-10-13,10718.48
1986-10-14,10740.57
1986-10-15,10826.67
1986-10-16,10809.9
1986-10-17,10757.33
1986-10-20,10674.29
1986-10-21,10661.33
1986-10-22,10689.52
1986-10-23,10830.48
1986-10-24,10816.76
1986-10-27,10800.76
1986-10-28,10857.14
1986-10-29,10905.14
1986-10-30,11030.86
1986-10-31,11008
1986-11-03,11033.14
1986-11-04,11121.52
1986-11-05,11137.52
1986-11-06,11078.86
1986-11-07,11040.76
1986-11-10,10993.52
1986-11-11,11074.29
1986-11-12,11091.81
1986-11-13,10926.48
1986-11-14,10933.33
1986-11-17,10757.33
1986-11-18,10716.95
1986-11-19,10631.62
1986-11-20,10766.48
1986-11-21,10887.62
1986-11-24,11009.52
1986-11-25,11106.29
1986-11-26,11190.1
1986-11-28,11271.62
1986-12-01,11188.57
1986-12-02,11340.95
1986-12-03,11434.67
1986-12-04,11427.05
1986-12-05,11355.43
1986-12-08,11264
1986-12-09,11190.1
1986-12-10,11196.95
1986-12-11,11129.9
1986-12-12,11046.1
1986-12-15,10976.76
1986-12-16,11008.76
1986-12-17,10898.29
1986-12-18,10883.81
1986-12-19,10953.9
1986-12-22,10978.29
1986-12-23,10880.76
1986-12-24,10879.24
1986-12-26,10890.67
1986-12-29,10890.67
1986-12-30,10783.24
1986-12-31,10774.1
1987-01-02,10884.57
1987-01-05,11231.24
1987-01-06,11356.95
1987-01-07,11654.86
1987-01-08,11862.1
1987-01-09,11961.14
1987-01-12,12137.9
1987-01-13,12161.52
1987-01-14,12393.14
1987-01-15,12506.67
1987-01-16,12381.71
1987-01-19,12682.67
1987-01-20,12687.24
1987-01-21,12515.05
1987-01-22,12795.43
1987-01-23,12705.52
1987-01-26,12505.9
1987-01-27,12697.9
1987-01-28,12771.81
1987-01-29,12627.81
1987-01-30,12699.43
1987-02-02,12976
1987-02-03,13071.24
1987-02-04,13219.05
1987-02-05,13305.14
1987-02-06,13305.14
1987-02-09,13228.95
1987-02-10,13129.14
1987-02-11,13408
1987-02-12,13429.33
1987-02-13,13642.67
1987-02-17,13992.38
1987-02-18,13806.48
1987-02-19,13704.38
1987-02-20,13614.48
1987-02-23,13539.81
1987-02-24,13633.52
1987-02-25,13788.19
1987-02-26,13881.14
1987-02-27,13923.81
1987-03-02,13795.05
1987-03-03,13756.95
1987-03-04,13964.19
1987-03-05,14070.1
1987-03-06,14040.38
1987-03-09,13902.48
1987-03-10,14054.86
1987-03-11,14118.86
1987-03-12,14077.71
1987-03-13,13955.05
1987-03-16,13922.29
1987-03-17,14163.81
1987-03-18,14174.48
1987-03-19,14320.76
1987-03-20,14462.48
1987-03-23,14430.48
1987-03-24,14489.9
1987-03-25,14490.67
1987-03-26,14530.29
1987-03-27,14403.81
1987-03-30,14006.86
1987-03-31,14174.48
1987-04-01,14176.76
1987-04-02,14297.9
1987-04-03,14579.81
1987-04-06,14545.52
1987-04-07,14281.14
1987-04-08,14421.33
1987-04-09,14379.43
1987-04-10,14345.14
1987-04-13,14014.48
1987-04-14,13692.95
1987-04-15,13901.71
1987-04-16,14000
1987-04-20,13876.57
1987-04-21,14067.05
1987-04-22,14016
1987-04-23,14001.52
1987-04-24,13743.24
1987-04-27,13680
1987-04-28,13810.29
1987-04-29,13883.43
1987-04-30,14082.29
1987-05-01,14158.48
1987-05-04,14205.71
1987-05-05,14456.38
1987-05-06,14422.1
1987-05-07,14476.95
1987-05-08,14503.62
1987-05-11,14418.29
1987-05-12,14397.71
1987-05-13,14498.29
1987-05-14,14532.57
1987-05-15,14316.95
1987-05-18,14130.29
1987-05-19,13826.29
1987-05-20,13843.81
1987-05-21,13916.95
1987-05-22,13839.24
1987-05-26,14108.19
1987-05-27,14168.38
1987-05-28,14332.19
1987-05-29,14382.48
1987-06-01,14160.76
1987-06-02,14057.14
1987-06-03,14153.14
1987-06-04,14190.48
1987-06-05,14147.81
1987-06-08,14288
1987-06-09,14435.81
1987-06-10,14477.71
1987-06-11,14450.29
1987-06-12,14503.62
1987-06-15,14445.71
1987-06-16,14414.48
1987-06-17,14554.67
1987-06-18,14656.76
1987-06-19,14632.38
1987-06-22,14659.81
1987-06-23,14616.38
1987-06-24,14621.71
1987-06-25,14578.29
1987-06-26,14556.95
1987-06-29,14529.52
1987-06-30,14418.29
1987-07-01,14435.81
1987-07-02,14505.14
1987-07-06,14402.29
1987-07-07,14304.76
1987-07-08,14276.57
1987-07-09,14321.52
1987-07-10,14380.19
1987-07-13,14508.19
1987-07-14,14856.38
1987-07-15,14847.24
1987-07-16,14936.38
1987-07-17,14923.43
1987-07-20,14770.29
1987-07-21,14719.24
1987-07-22,14752.76
1987-07-23,14590.48
1987-07-24,14707.05
1987-07-27,14719.24
1987-07-28,14761.9
1987-07-29,14835.81
1987-07-30,14976
1987-07-31,14960
1987-08-03,14875.43
1987-08-04,14924.19
1987-08-05,15104.76
1987-08-06,15380.57
1987-08-07,15522.29
1987-08-10,15697.52
1987-08-11,15877.33
1987-08-12,15776
1987-08-13,15731.05
1987-08-14,15731.05
1987-08-17,15758.48
1987-08-18,15535.24
1987-08-19,15648.76
1987-08-20,15918.48
1987-08-21,16043.43
1987-08-24,15960.38
1987-08-25,16054.86
1987-08-26,16088.38
1987-08-27,16048
1987-08-28,15911.62
1987-08-31,15967.24
1987-09-01,15763.05
1987-09-02,15674.67
1987-09-03,15619.81
1987-09-04,15547.43
1987-09-08,15230.48
1987-09-09,15360
1987-09-10,15631.24
1987-09-11,15723.43
1987-09-14,15631.24
1987-09-15,15409.52
1987-09-16,15337.14
1987-09-17,15395.05
1987-09-18,15366.1
1987-09-21,15029.33
1987-09-22,15347.05
1987-09-23,15548.19
1987-09-24,15591.62
1987-09-25,15628.19
1987-09-28,15590.86
1987-09-29,15554.29
1987-09-30,15657.14
1987-10-01,15977.9
1987-10-02,16290.29
1987-10-05,16163.81
1987-10-06,15852.95
1987-10-07,15763.05
1987-10-08,15514.67
1987-10-09,15426.29
1987-10-12,15209.9
1987-10-13,15331.81
1987-10-14,15047.62
1987-10-15,14709.33
1987-10-16,13964.19
1987-10-19,11859.05
1987-10-20,10968.38
1987-10-21,12097.52
1987-10-22,11427.81
1987-10-23,11079.62
1987-10-26,9785.14
1987-10-27,9894.86
1987-10-28,9996.95
1987-10-29,10971.43
1987-10-30,11433.9
1987-11-02,11595.43
1987-11-03,11209.9
1987-11-04,11271.62
1987-11-05,11659.43
1987-11-06,11480.38
1987-11-09,11161.14
1987-11-10,10928.76
1987-11-11,11084.19
1987-11-12,11416.38
1987-11-13,11272.38
1987-11-16,11235.05
1987-11-17,10938.67
1987-11-18,11035.43
1987-11-19,10747.43
1987-11-20,10730.67
1987-11-23,10806.86
1987-11-24,11021.71
1987-11-25,11047.62
1987-11-27,10921.9
1987-11-30,10448
1987-12-01,10450.29
1987-12-02,10511.24
1987-12-03,10129.52
1987-12-04,9938.29
1987-12-07,10144.76
1987-12-08,10414.48
1987-12-09,10648.38
1987-12-10,10591.24
1987-12-11,10652.95
1987-12-14,11129.9
1987-12-15,11191.62
1987-12-16,11509.33
1987-12-17,11421.71
1987-12-18,11790.48
1987-12-21,11887.24
1987-12-22,11852.19
1987-12-23,12042.67
1987-12-24,12052.57
1987-12-28,11640.38
1987-12-29,11759.24
1987-12-30,11983.24
1987-12-31,11904.76
1988-01-04,12328.38
1988-01-05,12516.57
1988-01-06,12661.33
1988-01-07,12853.33
1988-01-08,12052.57
1988-01-11,12105.14
1988-01-12,11864.38
1988-01-13,11850.67
1988-01-14,11888
1988-01-15,12176.76
1988-01-18,12116.57
1988-01-19,12038.86
1988-01-20,11616.76
1988-01-21,11653.33
1988-01-22,11760
1988-01-25,11966.48
1988-01-26,11827.05
1988-01-27,11842.29
1988-01-28,12012.19
1988-01-29,12124.19
1988-02-01,12085.33
1988-02-02,12112
1988-02-03,11929.9
1988-02-04,11990.86
1988-02-05,12038.86
1988-02-08,12028.95
1988-02-09,12108.95
1988-02-10,12361.14
1988-02-11,12416
1988-02-12,12490.67
1988-02-16,12612.57
1988-02-17,12633.14
1988-02-18,12628.57
1988-02-19,12729.14
1988-02-22,12967.62
1988-02-23,13049.9
1988-02-24,13140.57
1988-02-25,13011.81
1988-02-26,13001.9
1988-02-29,13153.52
1988-03-01,13152.76
1988-03-02,13342.48
1988-03-03,13447.62
1988-03-04,13515.43
1988-03-07,13597.71
1988-03-08,13686.1
1988-03-09,13808.76
1988-03-10,13595.43
1988-03-11,13553.52
1988-03-14,13654.1
1988-03-15,13585.52
1988-03-16,13746.29
1988-03-17,13808.76
1988-03-18,13792.76
1988-03-21,13630.48
1988-03-22,13715.05
1988-03-23,13657.14
1988-03-24,13315.05
1988-03-25,13171.81
1988-03-28,13168.76
1988-03-29,13231.24
1988-03-30,13114.67
1988-03-31,13200.76
1988-04-04,13059.81
1988-04-05,13173.33
1988-04-06,13455.24
1988-04-07,13510.86
1988-04-08,13632.76
1988-04-11,13709.71
1988-04-12,13721.9
1988-04-13,13743.24
1988-04-14,13201.52
1988-04-15,13190.86
1988-04-18,13222.86
1988-04-19,13283.81
1988-04-20,13176.38
1988-04-21,13110.1
1988-04-22,13205.33
1988-04-25,13287.62
1988-04-26,13466.67
1988-04-27,13501.71
1988-04-28,13465.14
1988-04-29,13403.43
1988-05-02,13466.67
1988-05-03,13638.1
1988-05-04,13609.9
1988-05-05,13537.52
1988-05-06,13499.43
1988-05-09,13328
1988-05-10,13281.52
1988-05-11,13013.33
1988-05-12,13082.67
1988-05-13,13244.95
1988-05-16,13332.57
1988-05-17,13262.48
1988-05-18,12973.71
1988-05-19,12978.29
1988-05-20,12943.24
1988-05-23,12773.33
1988-05-24,12892.19
1988-05-25,12876.95
1988-05-26,12940.95
1988-05-27,12921.14
1988-05-31,13206.86
1988-06-01,13461.33
1988-06-02,13443.81
1988-06-03,13561.9
1988-06-06,13695.24
1988-06-07,13696
1988-06-08,13943.62
1988-06-09,13926.1
1988-06-10,14075.43
1988-06-13,14075.43
1988-06-14,14154.67
1988-06-15,14179.05
1988-06-16,14057.14
1988-06-17,14014.48
1988-06-20,13957.33
1988-06-21,14079.24
1988-06-22,14246.1
1988-06-23,14261.33
1988-06-24,14274.29
1988-06-27,14104.38
1988-06-28,14338.29
1988-06-29,14307.05
1988-06-30,14402.29
1988-07-01,14473.14
1988-07-05,14621.71
1988-07-06,14508.95
1988-07-07,14428.95
1988-07-08,14335.24
1988-07-11,14300.19
1988-07-12,14265.9
1988-07-13,14332.95
1988-07-14,14375.62
1988-07-15,14362.67
1988-07-18,14384
1988-07-19,14154.67
