date,value
1969-12-31,10000
1970-01-02,10143.11
1970-01-05,10204.37
1970-01-06,10059.95
1970-01-07,10080.65
1970-01-08,10131.32
1970-01-09,10129.46
1970-01-12,10058.67
1970-01-13,10058.7
1970-01-14,10036.49
1970-01-15,10047.05
1970-01-16,10055.55
1970-01-19,9976.63
1970-01-20,9985.5
1970-01-21,9965.91
1970-01-22,10027.68
1970-01-23,9920.07
1970-01-26,9799.97
1970-01-27,9751.73
1970-01-28,9648.22
1970-01-29,9501.21
1970-01-30,9439.68
1970-02-02,9512.82
1970-02-03,9586.44
1970-02-04,9599.5
1970-02-05,9575.51
1970-02-06,9664.4
1970-02-09,9809.42
1970-02-10,9719
1970-02-11,9767.01
1970-02-12,9712.78
1970-02-13,9837.23
1970-02-16,9820.54
1970-02-17,9772.03
1970-02-18,9894.67
1970-02-19,9947.15
1970-02-20,9894.77
1970-02-24,9898.94
1970-02-25,10032.04
1970-02-26,10089.17
1970-02-27,10146.17
1970-03-02,10104
1970-03-03,10132.14
1970-03-04,10169.56
1970-03-05,10149.96
1970-03-06,10136.89
1970-03-09,10007.24
1970-03-10,9974.94
1970-03-11,9931.3
1970-03-12,9848.92
1970-03-13,9766.72
1970-03-16,9654.36
1970-03-17,9592.41
1970-03-18,9681.64
1970-03-19,9766.73
1970-03-20,9715.32
1970-03-23,9733.62
1970-03-24,9868.56
1970-03-25,10117.42
1970-03-26,10151.71
1970-03-30,10093.83
1970-03-31,10072.21
1970-04-01,10152.73
1970-04-02,10134.46
1970-04-03,10107.71
1970-04-06,9992.32
1970-04-07,9954.83
1970-04-08,9961.13
1970-04-09,9964.46
1970-04-10,9916.27
1970-04-13,9817.08
1970-04-14,9712.54
1970-04-15,9647.9
1970-04-16,9506.06
1970-04-17,9461.4
1970-04-20,9458.2
1970-04-21,9365.4
1970-04-22,9189.6
1970-04-23,9052.91
1970-04-24,8970.8
1970-04-27,8779.04
1970-04-28,8632.98
1970-04-29,8816.45
1970-04-30,8748.43
1970-05-01,8741.89
1970-05-04,8553.72
1970-05-05,8487.02
1970-05-06,8580.86
1970-05-07,8624.79
1970-05-08,8590.13
1970-05-11,8480.45
1970-05-12,8429.81
1970-05-13,8347.22
1970-05-14,8200.14
1970-05-15,8360.85
1970-05-18,8355.48
1970-05-19,8258.22
1970-05-20,8022.73
1970-05-21,7872.09
1970-05-22,7851.59
1970-05-25,7584.35
1970-05-26,7473.03
1970-05-27,7789.34
1970-05-28,7953.7
1970-05-29,8076.63
1970-06-01,8246.55
1970-06-02,8297.87
1970-06-03,8395.61
1970-06-04,8267.73
1970-06-05,8183.92
1970-06-08,8147.72
1970-06-09,8158.37
1970-06-10,8071.22
1970-06-11,7946.15
1970-06-12,7889.61
1970-06-15,7896.73
1970-06-16,8099.97
1970-06-17,8061.51
1970-06-18,8112.23
1970-06-19,8160.92
1970-06-22,8108.01
1970-06-23,7977.07
1970-06-24,7972.37
1970-06-25,7975.19
1970-06-26,7934.8
1970-06-29,7918.13
1970-06-30,7943.84
1970-07-01,8016.08
1970-07-02,8049.78
1970-07-06,7953.34
1970-07-07,7895.81
1970-07-08,8053.44
1970-07-09,8157.67
1970-07-10,8182.3
1970-07-13,8191.71
1970-07-14,8196.09
1970-07-15,8301.47
1970-07-16,8408.25
1970-07-17,8553.16
1970-07-20,8541.06
1970-07-21,8501.06
1970-07-22,8472.44
1970-07-23,8629.36
1970-07-24,8593.36
1970-07-27,8560.23
1970-07-28,8546.33
1970-07-29,8581.11
1970-07-30,8592.27
1970-07-31,8556.59
1970-08-03,8425
1970-08-04,8415.86
1970-08-05,8396.69
1970-08-06,8408.86
1970-08-07,8405.72
1970-08-10,8290.61
1970-08-11,8241.49
1970-08-12,8162.85
1970-08-13,8128.76
1970-08-14,8148.09
1970-08-17,8136.61
1970-08-18,8219
1970-08-19,8321.54
1970-08-20,8416.56
1970-08-21,8540.9
1970-08-24,8794.42
1970-08-25,8832.37
1970-08-26,8856.85
1970-08-27,8820.86
1970-08-28,8889.8
1970-08-31,8883.38
1970-09-01,8781.48
1970-09-02,8767.15
1970-09-03,8891.17
1970-09-04,8990.07
1970-09-08,8983.91
1970-09-09,8976.76
1970-09-10,8947.23
1970-09-11,8965.36
1970-09-14,8936.16
1970-09-15,8893.38
1970-09-16,8972.71
1970-09-17,9068.58
1970-09-18,9140.54
1970-09-21,9082.79
1970-09-22,9074.82
1970-09-23,9198.15
1970-09-24,9235.01
1970-09-25,9299.54
1970-09-28,9298.01
1970-09-29,9322.08
1970-09-30,9363.05
1970-10-01,9356.22
1970-10-02,9453.7
1970-10-05,9630.56
1970-10-06,9684.54
1970-10-07,9702.55
1970-10-08,9547.89
1970-10-09,9467.02
1970-10-12,9363.76
1970-10-13,9320.74
1970-10-14,9312.03
1970-10-15,9337.85
1970-10-16,9262.55
1970-10-19,9163.91
1970-10-20,9186.48
1970-10-21,9169.21
1970-10-22,9110.13
1970-10-23,9172.6
1970-10-26,9099.95
1970-10-27,9109.42
1970-10-28,9139.84
1970-10-29,9175.97
1970-10-30,9170.7
1970-11-02,9211.42
1970-11-03,9249.41
1970-11-04,9276.92
1970-11-05,9284.57
1970-11-06,9313.41
1970-11-09,9400.83
1970-11-10,9367.81
1970-11-11,9370.2
1970-11-12,9325.18
1970-11-13,9202.74
1970-11-16,9202.28
1970-11-17,9232.52
1970-11-18,9198.33
1970-11-19,9301.47
1970-11-20,9539.35
1970-11-23,9613.95
1970-11-24,9565.88
1970-11-25,9592.75
1970-11-27,9674.93
1970-11-30,9799.42
1970-12-01,9874.2
1970-12-02,10021.44
1970-12-03,10103.72
1970-12-04,10189.21
1970-12-07,10214.36
1970-12-08,10165.09
1970-12-09,10099.92
1970-12-10,10131.77
1970-12-11,10188.01
1970-12-14,10109.72
1970-12-15,10038.76
1970-12-16,10000.72
1970-12-17,10036.86
1970-12-18,10067.37
1970-12-21,10035.09
1970-12-22,10025.14
1970-12-23,10039.86
1970-12-24,10135.96
1970-12-28,10208.11
1970-12-29,10276.68
1970-12-30,10318.82
1970-12-31,10307.52
1971-01-04,10202.51
1971-01-05,10305.18
1971-01-06,10373.48
1971-01-07,10398.76
1971-01-08,10410.55
1971-01-11,10421.18
1971-01-12,10515.12
1971-01-13,10496.54
1971-01-14,10554.46
1971-01-15,10568
1971-01-18,10687.31
1971-01-19,10735.13
1971-01-20,10691.27
1971-01-21,10752.08
1971-01-22,10858.58
1971-01-25,10952.98
1971-01-26,10950.15
1971-01-27,10922.29
1971-01-28,10977.51
1971-01-29,11063.44
1971-02-01,11132.05
1971-02-02,11097.87
1971-02-03,11094.41
1971-02-04,11118.56
1971-02-05,11218
1971-02-08,11330.84
1971-02-09,11294.53
1971-02-10,11289.08
1971-02-11,11370.58
1971-02-12,11396.89
1971-02-16,11423.34
1971-02-17,11347.45
1971-02-18,11315.56
1971-02-19,11269.68
1971-02-22,11148.26
1971-02-23,11150.27
1971-02-24,11269.41
1971-02-25,11348.72
1971-02-26,11256.75
1971-03-01,11294.98
1971-03-02,11335.74
1971-03-03,11355.04
1971-03-04,11505.19
1971-03-05,11650.96
1971-03-08,11746.23
1971-03-09,11887.91
1971-03-10,11951.18
1971-03-11,12051.94
1971-03-12,12097.05
1971-03-15,12280.19
1971-03-16,12340.34
1971-03-17,12322.5
1971-03-18,12294.91
1971-03-19,12269.87
1971-03-22,12269.18
1971-03-23,12291.32
1971-03-24,12151.67
1971-03-25,12133.92
1971-03-26,12131.57
1971-03-29,12108.95
1971-03-30,12154.43
1971-03-31,12084.39
1971-04-01,12107.9
1971-04-02,12083.25
1971-04-05,12089.4
1971-04-06,12191.45
1971-04-07,12256.26
1971-04-08,12208.89
1971-04-12,12254.59
1971-04-13,12287.39
1971-04-14,12274.89
1971-04-15,12331.54
1971-04-16,12330.63
1971-04-19,12365.63
1971-04-20,12245.63
1971-04-21,12151.6
1971-04-22,12193.18
1971-04-23,12244.59
1971-04-26,12189.14
1971-04-27,12199.96
1971-04-28,12194.32
1971-04-29,12153.54
1971-04-30,12074.18
1971-05-03,11984.7
1971-05-04,12010.06
1971-05-05,11965.45
1971-05-06,11915.26
1971-05-07,11915.92
1971-05-10,11900.35
1971-05-11,11923.72
1971-05-12,11929.49
1971-05-13,11860.13
1971-05-14,11799.03
1971-05-17,11591.15
1971-05-18,11568.22
1971-05-19,11636.49
1971-05-20,11742.97
1971-05-21,11699.22
1971-05-24,11633.56
1971-05-25,11613.65
1971-05-26,11668.9
1971-05-27,11706.02
1971-05-28,11665.3
1971-06-01,11729.47
1971-06-02,11873.44
1971-06-03,11931.1
1971-06-04,11913.81
1971-06-07,11840.77
1971-06-08,11729.36
1971-06-09,11689.48
1971-06-10,11705.17
1971-06-11,11772.03
1971-06-14,11601.24
1971-06-15,11567.76
1971-06-16,11615.03
1971-06-17,11612.34
1971-06-18,11517.91
1971-06-21,11467.16
1971-06-22,11355.61
1971-06-23,11449.62
1971-06-24,11391.29
1971-06-25,11378.44
1971-06-28,11353.34
1971-06-29,11425.74
1971-06-30,11514.11
1971-07-01,11558.57
1971-07-02,11634.75
1971-07-06,11668.06
1971-07-07,11711.05
1971-07-08,11745.93
1971-07-09,11806.68
1971-07-12,11893.92
1971-07-13,11776.28
1971-07-14,11776.54
1971-07-15,11773.44
1971-07-16,11753.37
1971-07-19,11690.41
1971-07-20,11712.58
1971-07-21,11705.48
1971-07-22,11642.62
1971-07-23,11578.54
1971-07-26,11515.03
1971-07-27,11436.16
1971-07-28,11335.82
1971-07-29,11285.59
1971-07-30,11270.45
1971-08-02,11331.07
1971-08-03,11143.45
1971-08-04,11093.2
1971-08-05,11162.77
1971-08-06,11144.97
1971-08-09,11080.2
1971-08-10,11078.19
1971-08-11,11186.89
1971-08-12,11348.3
1971-08-13,11402.62
1971-08-16,11878.41
1971-08-17,12040.94
1971-08-18,11871.31
1971-08-19,11820.16
1971-08-20,11804.41
1971-08-23,11829.82
1971-08-24,11976.14
1971-08-25,11946.5
1971-08-26,11935.12
1971-08-27,11964.87
1971-08-30,11896.11
1971-08-31,11882.42
1971-09-01,11903.87
1971-09-02,11959.22
1971-09-03,12124.36
1971-09-07,12206.12
1971-09-08,12241.57
1971-09-09,12159.71
1971-09-10,12069.75
1971-09-13,11998.19
1971-09-14,11906.59
1971-09-15,11940.22
1971-09-16,11965.73
