date,value
1885-03-20,10000
1885-03-23,9921.63
1885-03-24,9814.36
1885-03-25,9899.04
1885-03-26,9981.66
1885-03-27,9987.91
1885-03-30,9860.01
1885-03-31,9897.22
1885-04-01,9909.66
1885-04-02,9930.36
1885-04-06,9913.91
1885-04-07,9788.08
1885-04-08,9825.29
1885-04-09,10070.94
1885-04-10,9967.81
1885-04-13,10130.91
1885-04-14,10176.37
1885-04-15,10360.1
1885-04-16,10267.28
1885-04-17,10201.3
1885-04-20,10203.43
1885-04-21,10180.78
1885-04-22,10211.8
1885-04-23,10228.36
1885-04-24,10183.02
1885-04-27,10195.46
1885-04-28,10220.28
1885-04-29,10236.85
1885-04-30,10269.92
1885-05-01,10203.95
1885-05-04,9929.55
1885-05-05,9882.15
1885-05-06,9987.45
1885-05-07,9886.4
1885-05-08,10022.65
1885-05-11,9983.5
1885-05-12,9940.23
1885-05-13,9942.35
1885-05-14,9944.47
1885-05-15,10016.75
1885-05-18,10091.09
1885-05-19,10095.28
1885-05-20,10045.82
1885-05-21,10105.71
1885-05-22,10184.18
1885-05-25,10091.39
1885-05-26,10134.77
1885-05-27,10083.25
1885-05-28,10050.3
1885-05-29,9978.14
1885-06-01,9932.81
1885-06-02,9992.7
1885-06-03,10056.72
1885-06-04,9994.89
1885-06-05,9918.61
1885-06-08,9904.22
1885-06-09,9937.29
1885-06-10,9964.17
1885-06-11,10055.01
1885-06-12,10106.65
1885-06-15,10197.48
1885-06-16,10164.53
1885-06-17,10166.65
1885-06-18,10228.6
1885-06-19,10303.66
1885-06-22,10255.57
1885-06-23,10236.77
1885-06-24,10349.75
1885-06-25,10289.11
1885-06-26,10220.11
1885-06-29,10054.9
1885-06-30,10034.01
1885-07-01,9971.29
1885-07-02,9898.11
1885-07-03,10008.99
1885-07-06,10011.11
1885-07-07,9977.67
1885-07-08,10147.11
1885-07-09,10170.14
1885-07-10,10172.26
1885-07-13,10515.28
1885-07-14,10561.31
1885-07-15,10714.01
1885-07-16,10659.65
1885-07-17,10801.89
1885-07-20,10774.72
1885-07-21,10781.02
1885-07-22,10950.44
1885-07-23,11113.58
1885-07-24,10971.39
1885-07-27,10854.29
1885-07-28,10879.41
1885-07-29,10992.36
1885-07-30,10979.83
1885-07-31,11013.31
1885-08-03,10929.68
1885-08-04,10963.16
1885-08-05,10940.17
1885-08-06,10994.56
1885-08-07,11090.77
1885-08-10,11136.8
1885-08-11,11117.99
1885-08-12,11256.03
1885-08-13,11182.85
1885-08-14,11316.7
1885-08-17,11670.11
1885-08-18,11417.1
1885-08-19,11584.4
1885-08-20,11490.32
1885-08-21,11507.06
1885-08-24,11438.08
1885-08-25,11333.54
1885-08-26,11379.56
1885-08-27,11523.85
1885-08-28,11448.59
1885-08-31,11283.43
1885-09-01,11210.26
1885-09-02,11293.91
1885-09-03,11247.93
1885-09-04,11214.49
1885-09-07,10871.62
1885-09-08,10959.45
1885-09-09,11007.56
1885-09-10,10907.22
1885-09-11,10942.78
1885-09-14,11116.33
1885-09-15,11070.35
1885-09-16,11179.09
1885-09-17,11143.56
1885-09-18,11236.35
1885-09-21,11191.97
1885-09-22,11211.12
1885-09-23,11221.8
1885-09-24,11164.71
1885-09-25,11113.98
1885-09-28,11291.95
1885-09-29,11272.98
1885-09-30,11353.54
1885-10-01,11332.45
1885-10-02,11233.02
1885-10-05,11563.44
1885-10-06,11582.58
1885-10-07,11805.01
1885-10-08,11813.56
1885-10-09,11856
1885-10-12,12000.07
1885-10-13,12076.38
1885-10-14,12127.28
1885-10-15,12010.91
1885-10-16,12190.97
1885-10-19,12483.24
1885-10-20,12625.19
1885-10-21,12629.5
1885-10-22,12398.79
1885-10-23,12470.86
1885-10-26,12326.97
1885-10-27,12485.85
1885-10-28,12570.62
1885-10-29,12498.71
1885-10-30,12657.58
1885-11-02,12795.28
1885-11-04,12700.08
1885-11-05,12875.89
1885-11-06,12763.75
1885-11-09,12829.46
1885-11-10,12937.51
1885-11-11,13134.48
1885-11-12,13123.97
1885-11-13,13229.9
1885-11-16,13200.34
1885-11-17,13367.66
1885-11-18,13410.07
1885-11-19,13556.22
1885-11-20,13446.21
1885-11-23,13071.58
1885-11-24,13442.12
1885-11-25,13378.68
1885-11-27,13179.77
1885-11-30,13171.38
1885-12-01,13057.14
1885-12-02,13099.55
1885-12-03,13118.68
1885-12-04,13173.79
1885-12-07,13131.53
1885-12-08,13169.71
1885-12-09,13138.03
1885-12-10,12945.48
1885-12-11,12964.61
1885-12-14,12647.17
1885-12-15,12882.21
1885-12-16,13100.31
1885-12-17,13000.9
1885-12-18,13079.44
1885-12-21,12897.43
1885-12-22,12670.48
1885-12-23,12702.51
1885-12-24,12852.25
1885-12-28,12993.43
1885-12-29,13205.23
1885-12-30,13215.85
1885-12-31,13192.23
1886-01-04,13204.99
1886-01-05,13087.2
1886-01-06,13121.36
1886-01-07,13095.6
1886-01-08,13016.33
1886-01-11,12962.75
1886-01-12,12934.85
1886-01-13,12759.28
1886-01-14,12851.23
1886-01-15,12602.9
1886-01-18,12390.97
1886-01-19,12512.87
1886-01-20,12480.7
1886-01-21,12596.18
1886-01-22,12510.5
1886-01-25,12311.41
1886-01-26,12431.17
1886-01-27,12435.38
1886-01-28,12512.34
1886-01-29,12510.12
1886-02-01,12833.17
1886-02-02,12860.91
1886-02-03,12937.86
1886-02-04,12950.62
1886-02-05,13070.37
1886-02-08,13183.7
1886-02-09,13314.14
1886-02-10,13149.3
1886-02-11,13196.29
1886-02-12,13219.75
1886-02-15,13253.9
1886-02-16,13288.05
1886-02-17,13219.5
1886-02-18,13043.97
1886-02-19,12998.96
1886-02-23,12960.36
1886-02-24,12962.42
1886-02-25,12925.97
1886-02-26,12917.33
1886-03-01,12848.79
1886-03-02,13069.08
1886-03-03,13073.28
1886-03-04,12953.39
1886-03-05,12972.57
1886-03-08,12940.39
1886-03-09,12912.5
1886-03-10,12912.42
1886-03-11,12952.99
1886-03-12,12730.41
1886-03-15,12777.4
1886-03-16,12779.46
1886-03-17,12586.84
1886-03-18,12610.3
1886-03-19,12693.77
1886-03-22,12646.09
1886-03-23,12367.07
1886-03-24,12310.74
1886-03-25,12423.06
1886-03-26,12390.52
1886-03-29,12381.76
1886-03-30,12498.4
1886-03-31,12573.96
1886-04-01,12632.22
1886-04-02,12428.88
1886-04-05,12456.88
1886-04-06,12454.61
1886-04-07,12573.4
1886-04-08,12560.32
1886-04-09,12573.18
1886-04-12,12795.74
1886-04-13,12696.18
1886-04-14,12691.74
1886-04-15,12527.33
1886-04-16,12445.07
1886-04-19,12444.96
1886-04-20,12516.19
1886-04-21,12589.58
1886-04-22,12576.49
1886-04-26,12563.41
1886-04-27,12528.71
1886-04-28,12392.41
1886-04-29,12340.42
1886-04-30,12238.72
1886-05-03,11985.69
1886-05-04,12110.96
1886-05-05,12266.49
1886-05-06,12125.88
1886-05-07,12266.27
1886-05-10,12343.98
1886-05-11,12330.9
1886-05-12,12482.1
1886-05-13,12438.75
1886-05-14,12293.82
1886-05-17,12378.01
1886-05-18,12278.47
1886-05-19,12256.75
1886-05-20,12371.2
1886-05-21,12448.9
1886-05-24,12517.95
1886-05-25,12532.97
1886-05-26,12673.35
1886-05-27,12787.79
1886-05-28,12666.64
1886-06-01,12880.5
1886-06-02,12804.74
1886-06-03,12728.98
1886-06-04,12845.58
1886-06-07,12813.04
1886-06-08,12782.67
1886-06-09,12942.49
1886-06-10,12823.51
1886-06-11,12907.68
1886-06-14,12959.44
1886-06-15,12972.29
1886-06-16,13097.52
1886-06-17,13155.75
1886-06-18,13215.98
1886-06-21,13218.01
1886-06-22,13189.48
1886-06-23,13298.49
1886-06-24,13097.47
1886-06-25,13219.59
1886-06-28,13182.32
1886-06-29,13081.74
1886-06-30,13079.41
1886-07-01,13136.02
1886-07-02,13151.15
1886-07-06,13129.17
1886-07-07,13198.88
1886-07-08,13117.96
1886-07-09,13104.71
1886-07-12,12969.2
1886-07-13,13028
1886-07-14,13045.31
1886-07-15,13176.15
1886-07-16,13176
1886-07-19,13114.72
1886-07-20,13210.63
1886-07-21,13251.95
1886-07-22,13245.25
1886-07-23,13221.09
1886-07-26,13301.71
1886-07-27,13323.39
1886-07-28,13417.1
1886-07-29,13347.09
1886-07-30,13399.33
1886-08-02,13586.91
1886-08-03,13516.9
1886-08-04,13534.21
1886-08-05,13597.36
1886-08-06,13638.68
1886-08-09,13479.18
1886-08-10,13559.79
1886-08-11,13481.06
1886-08-12,13461.26
1886-08-13,13426.18
1886-08-16,13358.37
1886-08-17,13177.05
1886-08-18,13098.32
1886-08-19,13220.4
1886-08-20,13381.77
1886-08-23,13337.96
1886-08-24,13385.83
1886-08-25,13276.55
1886-08-26,13293.86
1886-08-27,13370.1
1886-08-30,13365.58
1886-08-31,13280.31
1886-09-01,13328.17
1886-09-02,13395.68
1886-09-03,13530.84
1886-09-06,13596.16
1886-09-07,13556.72
1886-09-08,13652.6
1886-09-09,13589.15
1886-09-10,13654.47
1886-09-13,13780.9
1886-09-14,13765.47
1886-09-15,13780.59
1886-09-16,13854.63
1886-09-17,13899.93
1886-09-20,14133.43
1886-09-21,14179.58
1886-09-22,14175.05
1886-09-23,14152.89
1886-09-24,14194.64
1886-09-27,14068.9
1886-09-28,14236.26
1886-09-29,14278.01
1886-09-30,14143.46
1886-10-01,14050.78
1886-10-04,14165.25
1886-10-05,14292.94
1886-10-06,14277.39
1886-10-07,14213.36
1886-10-08,14226.46
1886-10-11,14109.54
1886-10-12,14023.48
1886-10-13,14267.95
1886-10-14,14353.77
1886-10-15,14358.05
1886-10-18,14300.63
1886-10-19,14355.6
1886-10-20,14273.94
1886-10-21,14364.16
1886-10-22,14302.34
1886-10-25,14240.51
1886-10-26,14346.15
1886-10-27,14330.61
1886-10-28,14405.4
1886-10-29,14414.08
1886-11-01,14552.77
1886-11-03,14596.71
1886-11-04,14493.03
1886-11-05,14477.48
1886-11-08,14486.17
1886-11-09,14497.06
1886-11-10,14582.86
1886-11-11,14490.19
1886-11-12,14540.74
1886-11-15,14589.09
1886-11-16,14650.65
1886-11-17,14626.29
1886-11-18,14679.04
1886-11-19,14694.33
1886-11-22,14641.33
1886-11-23,14592.73
1886-11-24,14605.82
1886-11-26,14656.37
1886-11-29,14781.81
1886-11-30,14651.7
1886-12-01,14785.96
1886-12-02,14829.89
1886-12-03,14933.31
1886-12-06,14845.06
1886-12-07,14635.64
1886-12-08,14734.65
1886-12-09,14794
1886-12-10,14602.22
1886-12-13,14364.17
1886-12-14,14167.99
1886-12-15,13859.46
1886-12-16,14044.38
1886-12-17,14010.01
1886-12-20,13727.64
1886-12-21,13890.17
1886-12-22,13934.8
1886-12-23,13961.63
1886-12-24,13941.75
1886-12-27,13806.2
1886-12-28,13957.6
1886-12-29,14129.01
1886-12-30,14267.06
1886-12-31,14325.03
1887-01-03,14289.58
1887-01-04,14038.37
1887-01-05,14080.77
1887-01-06,14167.65
1887-01-07,14018.76
1887-01-10,14083.41
1887-01-11,14070.2
1887-01-12,14157.08
1887-01-13,14048.23
1887-01-14,14141.79
1887-01-17,14155.27
1887-01-18,14197.67
1887-01-19,14271.2
1887-01-20,14209.06
1887-01-21,14115.78
1887-01-24,13802.32
1887-01-25,14033.77
1887-01-26,13909.36
1887-01-27,13865.02
1887-01-28,13967.46
1887-01-31,13825.26
1887-02-01,13745.34
1887-02-02,13861.13
1887-02-03,13787.88
1887-02-04,13888.09
1887-02-07,14050.58
1887-02-08,14130.78
1887-02-09,14266.57
1887-02-10,14311.19
1887-02-11,14229.04
1887-02-14,14186.92
1887-02-15,13849.04
1887-02-16,14196.09
1887-02-17,14105.05
1887-02-18,14165.23
1887-02-21,14183.16
1887-02-23,14307.83
1887-02-24,14390.24
1887-02-25,14408.17
1887-02-28,14230.4
1887-03-01,14161.61
1887-03-02,14299.61
1887-03-03,14353.12
1887-03-04,14244.29
1887-03-07,14375.62
1887-03-08,14389.1
1887-03-09,14311.41
1887-03-10,14269.3
1887-03-11,14282.78
1887-03-14,14165.06
1887-03-15,14285.27
1887-03-16,14305.42
1887-03-17,14256.64
1887-03-18,14287.49
1887-03-21,14285.42
1887-03-22,14296.84
1887-03-23,14299.27
1887-03-24,14416.35
1887-03-25,14371.57
1887-03-28,14538.11
1887-03-29,14554.02
1887-03-30,14518.23
1887-03-31,14590.35
1887-04-01,14545.56
1887-04-04,14640.16
1887-04-05,14683.05
1887-04-06,14662.99
1887-04-07,14735.1
1887-04-11,14706.06
1887-04-12,14730.96
1887-04-13,14650.21
1887-04-14,14679.61
1887-04-15,14641.57
1887-04-18,14713.68
1887-04-19,14677.89
1887-04-20,14758.99
1887-04-21,14684.98
1887-04-22,14705.39
1887-04-25,14746.03
1887-04-26,14622.57
1887-04-27,14681.19
1887-04-28,14656.64
1887-04-29,14760.21
1887-05-02,14677.22
1887-05-03,14672.9
1887-05-04,14704.55
1887-05-05,14774.4
1887-05-06,14738.61
1887-05-09,14669.11
1887-05-10,14709.75
1887-05-11,14806.57
1887-05-12,14889.91
1887-05-13,14908.06
1887-05-16,14926.22
1887-05-17,14944.37
1887-05-18,15065.91
1887-05-19,14998.66
1887-05-20,15003.33
1887-05-23,14900.12
1887-05-24,14893.55
1887-05-25,14927.43
1887-05-26,14961.32
1887-05-27,14869.35
1887-05-31,14952.68
1887-06-01,14964.09
1887-06-02,14829.42
1887-06-03,14881.29
1887-06-06,14910.68
1887-06-07,14879.39
1887-06-08,14807.65
1887-06-09,14810.07
1887-06-10,14848.45
1887-06-13,14698.06
1887-06-14,14612.84
1887-06-15,14655.71
1887-06-16,14739.04
1887-06-17,14672.49
1887-06-20,14720.37
1887-06-21,14720.55
1887-06-22,14607.15
1887-06-23,14448.32
1887-06-24,14282.67
1887-06-27,14069.33
1887-06-28,14196.72
1887-06-29,14487.66
1887-06-30,14360.63
1887-07-01,14372.17
1887-07-05,14251.97
1887-07-06,14186.28
1887-07-07,14211.44
1887-07-08,14084.43
1887-07-11,14136.85
1887-07-12,14125.68
1887-07-13,13876.01
1887-07-14,14010.21
1887-07-15,14042.19
1887-07-18,14144.58
1887-07-19,14010.76
1887-07-20,14092.71
1887-07-21,14186.01
1887-07-22,14154.4
1887-07-25,14068.28
1887-07-26,13966.26
1887-07-27,13805.19
1887-07-28,13918.93
1887-07-29,13662.47
1887-08-01,13608.15
1887-08-02,13413.02
1887-08-03,13667.58
1887-08-04,13804.03
1887-08-05,13956.38
1887-08-08,13777.15
1887-08-09,13802.31
1887-08-10,13804.77
1887-08-11,13798.14
1887-08-12,13866.46
1887-08-15,13973.38
1887-08-16,13982.65
1887-08-17,13957.85
1887-08-18,13876.28
1887-08-19,13846.95
1887-08-22,13701.79
1887-08-23,13731.5
1887-08-24,13561.37
1887-08-25,13454.83
1887-08-26,13464.1
1887-08-29,13550.58
1887-08-30,13291.9
1887-08-31,13580.48
1887-09-01,13810.01
1887-09-02,13871.5
1887-09-06,14082.87
1887-09-07,13899.12
1887-09-08,13851.62
1887-09-09,13988.05
1887-09-12,13804.31
1887-09-13,13856.72
1887-09-14,13688.88
1887-09-15,13611.87
1887-09-16,13627.45
