date,value
1969-12-31,10000
1970-01-02,10121.68
1970-01-05,10204.81
1970-01-06,10020.34
1970-01-07,10158.02
1970-01-08,10223.51
1970-01-09,10128.18
1970-01-12,10031.16
1970-01-13,10023.71
1970-01-14,10105.95
1970-01-15,10140.24
1970-01-16,10200.06
1970-01-19,10160.05
1970-01-20,10218.96
1970-01-21,10115.14
1970-01-22,10284.88
1970-01-23,10200.41
1970-01-26,10088.75
1970-01-27,10044.62
1970-01-28,9937.88
1970-01-29,9812.64
1970-01-30,9785.76
1970-02-02,9717.48
1970-02-03,9618.92
1970-02-04,9730.03
1970-02-05,9678.01
1970-02-06,9705.18
1970-02-09,9838.21
1970-02-10,9810.99
1970-02-11,9776.19
1970-02-12,9643.49
1970-02-13,9762.81
1970-02-16,9737.09
1970-02-17,9584.39
1970-02-18,9676.76
1970-02-19,9725.62
1970-02-20,9552.22
1970-02-24,9564.88
1970-02-25,9533.51
1970-02-26,9673.04
1970-02-27,9658.54
1970-03-02,9596.07
1970-03-03,9556.02
1970-03-04,9670.29
1970-03-05,9609.28
1970-03-06,9635.3
1970-03-09,9484.85
1970-03-10,9409.9
1970-03-11,9433.3
1970-03-12,9363.79
1970-03-13,9364.42
1970-03-16,9264.97
1970-03-17,9160.44
1970-03-18,9267.54
1970-03-19,9222.85
1970-03-20,9176.85
1970-03-23,9213.67
1970-03-24,9332
1970-03-25,9561.57
1970-03-26,9666.2
1970-03-30,9684.96
1970-03-31,9649.3
1970-04-01,9706.84
1970-04-02,9765.5
1970-04-03,9850.27
1970-04-06,9730.12
1970-04-07,9680.93
1970-04-08,9712.99
1970-04-09,9742.59
1970-04-10,9649.34
1970-04-13,9563.97
1970-04-14,9437.47
1970-04-15,9375.49
1970-04-16,9270.14
1970-04-17,9275.17
1970-04-20,9263.21
1970-04-21,9152.44
1970-04-22,9046.19
1970-04-23,8972.62
1970-04-24,8929.4
1970-04-27,8704.25
1970-04-28,8541.08
1970-04-29,8698.19
1970-04-30,8634.15
1970-05-01,8672.54
1970-05-04,8716.66
1970-05-05,8681.9
1970-05-06,8674.56
1970-05-07,8646.37
1970-05-08,8567.77
1970-05-11,8494.87
1970-05-12,8520.26
1970-05-13,8573.99
1970-05-14,8392.33
1970-05-15,8523.57
1970-05-18,8450.4
1970-05-19,8489.61
1970-05-20,8269.42
1970-05-21,8209.14
1970-05-22,8266.86
1970-05-25,8175.04
1970-05-26,8169.67
1970-05-27,8092.46
1970-05-28,8102.05
1970-05-29,7992.01
1970-06-01,8068.79
1970-06-02,8133.43
1970-06-03,8236.29
1970-06-04,8145.02
1970-06-05,8282.73
1970-06-08,8168.73
1970-06-09,8163.69
1970-06-10,8061.83
1970-06-11,7973.03
1970-06-12,7961.85
1970-06-15,7921.12
1970-06-16,8009.69
1970-06-17,7978.93
1970-06-18,8027.44
1970-06-19,8062.21
1970-06-22,7950.9
1970-06-23,7854.35
1970-06-24,7978.52
1970-06-25,8009.51
1970-06-26,8035.71
1970-06-29,8082.04
1970-06-30,8074.79
1970-07-01,8167.62
1970-07-02,8184.52
1970-07-06,8060.13
1970-07-07,7979.74
1970-07-08,8134.86
1970-07-09,8203.7
1970-07-10,8215.99
1970-07-13,8245.45
1970-07-14,8248.28
1970-07-15,8364.49
1970-07-16,8415.89
1970-07-17,8566.81
1970-07-20,8535.48
1970-07-21,8586.47
1970-07-22,8448.99
1970-07-23,8543.95
1970-07-24,8513.76
