date,value
1969-12-31,10000.0
1970-01-02,10121.16
1970-01-05,10190.41
1970-01-06,10081.92
1970-01-07,10118.34
1970-01-08,10144.11
1970-01-09,10094.3
1970-01-12,10010.39
1970-01-13,10013.35
1970-01-14,10024.86
1970-01-15,10035.09
1970-01-16,10000.42
1970-01-19,9900.99
1970-01-20,9932.86
1970-01-21,9906.3
1970-01-22,9969.26
1970-01-23,9873.22
1970-01-26,9764.72
1970-01-27,9708.55
1970-01-28,9612.07
1970-01-29,9488.28
1970-01-30,9425.2
1970-02-02,9458.39
1970-02-03,9510.22
1970-02-04,9500.06
1970-02-05,9459.35
1970-02-06,9507.77
1970-02-09,9604.69
1970-02-10,9537.05
1970-02-11,9586.35
1970-02-12,9532.81
1970-02-13,9561.31
1970-02-16,9550.73
1970-02-17,9491.54
1970-02-18,9599.62
1970-02-19,9635.55
1970-02-20,9603.09
1970-02-24,9607.33
1970-02-25,9698.16
1970-02-26,9711.25
1970-02-27,9754.05
1970-03-02,9744.07
1970-03-03,9771.0
1970-03-04,9793.96
1970-03-05,9774.48
1970-03-06,9739.14
1970-03-09,9620.61
1970-03-10,9606.96
1970-03-11,9607.32
1970-03-12,9553.05
1970-03-13,9514.25
1970-03-16,9409.28
1970-03-17,9401.59
1970-03-18,9455.35
1970-03-19,9423.79
1970-03-20,9377.16
1970-03-23,9382.13
1970-03-24,9486.92
1970-03-25,9701.48
1970-03-26,9744.09
1970-03-30,9733.5
1970-03-31,9720.42
1970-04-01,9770.27
1970-04-02,9765.05
1970-04-03,9761.53
1970-04-06,9669.76
1970-04-07,9631.91
1970-04-08,9631.32
1970-04-09,9635.78
1970-04-10,9578.8
1970-04-13,9494.56
1970-04-14,9400.21
1970-04-15,9362.01
1970-04-16,9257.24
1970-04-17,9239.62
1970-04-20,9250.98
1970-04-21,9181.0
1970-04-22,9056.02
1970-04-23,8932.47
1970-04-24,8889.12
1970-04-27,8707.4
1970-04-28,8569.38
1970-04-29,8744.05
1970-04-30,8700.94
1970-05-01,8706.67
1970-05-04,8569.16
1970-05-05,8494.02
1970-05-06,8562.15
1970-05-07,8588.83
1970-05-08,8534.83
1970-05-11,8448.68
1970-05-12,8405.07
1970-05-13,8323.45
1970-05-14,8181.69
1970-05-15,8325.77
1970-05-18,8311.43
1970-05-19,8212.18
1970-05-20,7996.89
1970-05-21,7870.59
1970-05-22,7881.81
1970-05-25,7683.57
1970-05-26,7614.58
1970-05-27,7865.87
