date,value
1926-06-30,10000
1926-07-01,10010.89
1926-07-02,10056.83
1926-07-06,10074.82
1926-07-07,10084.78
1926-07-08,10106.85
1926-07-09,10035.99
1926-07-12,10104.05
1926-07-13,10153.45
1926-07-14,10158.41
1926-07-15,10115.63
1926-07-16,10170.15
1926-07-19,10205.53
1926-07-20,10148.26
1926-07-21,10088.27
1926-07-22,10015.52
1926-07-23,10014.41
1926-07-26,10055.19
1926-07-27,10099.32
1926-07-28,10210.3
1926-07-29,10247.96
1926-07-30,10263.22
1926-08-02,10398.99
1926-08-03,10448.89
1926-08-04,10412.3
1926-08-05,10403.96
1926-08-06,10475.74
1926-08-09,10548.12
1926-08-10,10401.48
1926-08-11,10343.22
1926-08-12,10431.13
1926-08-13,10492.66
1926-08-16,10574.55
1926-08-17,10475.14
1926-08-18,10503.41
1926-08-19,10441.42
1926-08-20,10421.57
1926-08-23,10508.23
1926-08-24,10421
1926-08-25,10388.68
1926-08-26,10444.77
1926-08-27,10482.36
1926-08-30,10551.64
1926-08-31,10613.88
1926-09-01,10673.2
1926-09-02,10667.75
1926-09-03,10722.03
1926-09-07,10786.25
1926-09-08,10732.19
1926-09-09,10725.63
1926-09-10,10637.56
1926-09-13,10589.48
1926-09-14,10685.73
1926-09-15,10664.23
1926-09-16,10645.99
1926-09-17,10539.41
1926-09-20,10547.14
1926-09-21,10579.72
1926-09-22,10566.91
1926-09-23,10595.32
1926-09-24,10661.95
1926-09-27,10673.43
1926-09-28,10674.38
1926-09-29,10643.3
1926-09-30,10676.18
1926-10-01,10755.49
1926-10-04,10597.07
1926-10-05,10481.87
1926-10-06,10424.52
1926-10-07,10345.59
1926-10-08,10407.96
1926-10-11,10239.59
1926-10-13,10311.56
1926-10-14,10412.92
1926-10-15,10223.7
1926-10-18,10222.76
1926-10-19,10115.71
1926-10-20,10091.73
1926-10-21,10247.43
1926-10-22,10207.76
1926-10-25,10255.27
1926-10-26,10289.4
1926-10-27,10393.62
1926-10-28,10386.65
1926-10-29,10381.75
1926-11-01,10406.13
1926-11-03,10428.28
1926-11-04,10491.15
1926-11-05,10499.84
1926-11-08,10574.06
1926-11-09,10589.17
1926-11-10,10526.99
1926-11-11,10598.88
1926-11-12,10625.68
1926-11-15,10642.15
1926-11-16,10659.49
1926-11-17,10623.55
1926-11-18,10573.93
1926-11-19,10507.62
1926-11-22,10612.51
1926-11-23,10648.9
1926-11-24,10658.79
1926-11-26,10681.48
1926-11-29,10628.76
1926-11-30,10657.76
1926-12-01,10697.29
1926-12-02,10753.01
1926-12-03,10788.59
1926-12-06,10776.91
1926-12-07,10773.78
1926-12-08,10766.33
1926-12-09,10815.95
1926-12-10,10854.98
1926-12-13,10912.77
1926-12-14,10924.87
1926-12-15,10944.63
1926-12-16,10876.87
1926-12-17,10977.03
1926-12-20,10991.36
1926-12-21,10989.26
1926-12-22,10992.66
1926-12-23,11024.63
1926-12-24,11060.01
1926-12-27,11036.88
1926-12-28,10919.99
1926-12-29,10969.22
1926-12-30,10932.02
1926-12-31,10969.29
1927-01-03,10883.71
1927-01-04,10918.53
1927-01-05,10934.89
1927-01-06,10917.39
1927-01-07,10951.22
1927-01-10,11011.5
1927-01-11,10981.76
1927-01-12,10990.53
1927-01-13,10987.22
1927-01-14,10993.8
1927-01-17,11005.87
1927-01-18,11000.36
1927-01-19,11068.55
1927-01-20,11050.82
1927-01-21,11050.81
1927-01-24,10960.36
1927-01-25,10844.17
1927-01-26,10865.85
1927-01-27,10828.89
1927-01-28,10847.28
1927-01-31,10995.29
1927-02-01,10995.5
1927-02-02,11073.77
1927-02-03,11093.92
1927-02-04,11136.28
1927-02-07,11104.44
1927-02-08,11116.86
1927-02-09,11122.63
1927-02-10,11132.85
1927-02-11,11168.69
1927-02-14,11224.74
1927-02-15,11237.3
1927-02-16,11236.38
1927-02-17,11264.69
1927-02-18,11302.07
1927-02-21,11286.68
1927-02-23,11369.29
1927-02-24,11386.56
1927-02-25,11411.82
1927-02-28,11485.35
1927-03-01,11440.66
1927-03-02,11311.48
